opened_at,status,event_slug,event_title,market_slug,question,group_item_title,side,entry_mode,paper_source,stake_usdc,price,fee_per_share,shares,fair_probability,net_edge,strategy_version,strategy_candidate_id,execution_quality,execution_slippage,maker_preferred,maker_quote_price,maker_fill_score,maker_reason,maker_edge_if_filled,maker_worst_edge,execution_fillable,execution_fill_ratio,execution_book_price,execution_book_levels_used,execution_book_available_usdc,execution_token_id,robust_reason,worst_edge,stress_pass_rate,decision_reason,risk_flags,visible_top_bucket,visible_top_bucket_probability,visible_bucket_rank,visible_bucket_count,fair_yes_probability,fair_no_probability,yes_net_edge,no_net_edge,expected_payout_usdc,expected_pnl_usdc,prediction_c,interval_lower,interval_upper,interval_unit,end_date,market_has_ended,actual_value,actual_status,won,payout_usdc,pnl_usdc,roi_pct,trade_id,refined_fair_probability,refined_edge,observed_so_far_c,observed_samples,hours_remaining,refresh_reason,refreshed_at
2026-05-10T19:02:52+00:00,open,highest-temperature-in-miami-on-may-11-2026,Highest temperature in Miami on May 11?,highest-temperature-in-miami-on-may-11-2026-90-91f,Highest temperature in Miami on May 11?,90-91°F,BUY_NO,taker,strategy_lab,0.25,0.59,0.012095,0.415217,0.912886,0.310791,strategy_lab_v2,highest-temperature-in-miami-on-may-11-2026|highest-temperature-in-miami-on-may-11-2026-90-91f|BUY_NO,good,0.0,0,0.585,0.695,"maker viable, taker expected value is higher",0.307886,0.232136,1,1.0,0.59,1,1025.9651,36546815206580066018168647392153308838557249318417336644956574483552266028522,passes all stress and execution checks,0.215241,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 84-85°F,,84-85°F,,4,5,,,,,0.379,0.129,29.790069,90.0,92.0,fahrenheit,,0,,pending,,,,,dea8c8514bed4c11,0.956622,0.354527,,0,24.0,refreshed,2026-05-10T22:36:04+00:00
2026-05-10T19:02:52+00:00,open,highest-temperature-in-helsinki-on-may-11-2026,Highest temperature in Helsinki on May 11?,highest-temperature-in-helsinki-on-may-11-2026-15c,Highest temperature in Helsinki on May 11?,15°C,BUY_NO,taker,strategy_lab,0.25,0.625,0.011719,0.392638,0.842806,0.206087,strategy_lab_v2,highest-temperature-in-helsinki-on-may-11-2026|highest-temperature-in-helsinki-on-may-11-2026-15c|BUY_NO,fair,0.005,0,0.615,0.5625,"maker viable, taker expected value is higher",0.207806,0.207806,1,1.0,0.62,1,547.5803,24506904921310454082625499109967882446337657707026475298323278267742151571048,passes all stress and execution checks,0.186357,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 17°C or higher,,17°C or higher,,2,5,,,,,0.3309,0.0809,14.673835,14.5,15.5,celsius,,0,,pending,,,,,fd096921d18d8ee2,0.744763,0.108044,,0,24.0,refreshed,2026-05-10T22:36:04+00:00
2026-05-10T19:02:52+00:00,open,highest-temperature-in-los-angeles-on-may-11-2026,Highest temperature in Los Angeles on May 11?,highest-temperature-in-los-angeles-on-may-11-2026-70-71f,Highest temperature in Los Angeles on May 11?,70-71°F,BUY_NO,taker,strategy_lab,0.25,0.615,0.011839,0.398827,0.901917,0.275078,strategy_lab_v2,highest-temperature-in-los-angeles-on-may-11-2026|highest-temperature-in-los-angeles-on-may-11-2026-70-71f|BUY_NO,fair,0.005,0,0.585,0.585,"maker viable, taker expected value is higher",0.296917,0.226245,1,1.0,0.61,1,610.9483,50427475506330552517785595104696757020506978981343642366953621440372247661694,passes all stress and execution checks,0.184656,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 66-67°F,,66-67°F,,5,5,,,,,0.3597,0.1097,18.942806,70.0,72.0,fahrenheit,,0,,pending,,,,,5548a70a404643a6,0.940244,0.313405,,0,24.0,refreshed,2026-05-10T22:36:04+00:00
2026-05-10T19:02:52+00:00,open,highest-temperature-in-sao-paulo-on-may-12-2026,Highest temperature in Sao Paulo on May 12?,highest-temperature-in-sao-paulo-on-may-12-2026-22c,Highest temperature in Sao Paulo on May 12?,22°C,BUY_NO,taker,strategy_lab,0.25,0.64,0.01152,0.383718,0.892397,0.240877,strategy_lab_v2,highest-temperature-in-sao-paulo-on-may-12-2026|highest-temperature-in-sao-paulo-on-may-12-2026-22c|BUY_NO,fair,0.01,0,0.615,0.5325,maker fill score below 0.55,0.257397,0.20706,1,1.0,0.64,1,881.4914,91414139334604727869457909999955950203592966675555042969738235780880875962159,passes all stress and execution checks,0.17084,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 20°C,,20°C,,3,5,,,,,0.3424,0.0924,19.784623,21.5,22.5,celsius,,0,,pending,,,,,a70bc1f591f7c2cf,0.90873,0.25721,,0,24.0,refreshed,2026-05-10T22:36:04+00:00
2026-05-10T19:02:52+00:00,open,highest-temperature-in-warsaw-on-may-12-2026,Highest temperature in Warsaw on May 12?,highest-temperature-in-warsaw-on-may-12-2026-14c,Highest temperature in Warsaw on May 12?,14°C,BUY_NO,taker,strategy_lab,0.25,0.67,0.011055,0.367078,0.853336,0.172281,strategy_lab_v2,highest-temperature-in-warsaw-on-may-12-2026|highest-temperature-in-warsaw-on-may-12-2026-14c|BUY_NO,good,0.0,0,0.655,0.5325,maker fill score below 0.55,0.178336,0.178336,1,1.0,0.67,1,859.0973,97585520711080719979293803926125209290713231890515739180158090694780974162019,passes all stress and execution checks,0.152641,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 15°C or higher,,15°C or higher,,2,5,,,,,0.3132,0.0632,14.992345,13.5,14.5,celsius,,0,,pending,,,,,145abf34d02807a0,0.788524,0.107469,,0,24.0,refreshed,2026-05-10T22:36:04+00:00
2026-05-10T19:02:52+00:00,open,highest-temperature-in-ankara-on-may-12-2026,Highest temperature in Ankara on May 12?,highest-temperature-in-ankara-on-may-12-2026-23c,Highest temperature in Ankara on May 12?,23°C,BUY_NO,taker,strategy_lab,0.25,0.655,0.011299,0.375207,0.881579,0.21528,strategy_lab_v2,highest-temperature-in-ankara-on-may-12-2026|highest-temperature-in-ankara-on-may-12-2026-23c|BUY_NO,fair,0.005,0,0.635,0.47,maker fill score below 0.55,0.226579,0.186557,1,1.0,0.65,1,1206.1314,1392011050437750811143615267506565158221085996204739306931238124531616197097,passes all stress and execution checks,0.155588,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 21°C,,21°C,,4,5,,,,,0.3308,0.0808,21.077927,22.5,23.5,celsius,,0,,pending,,,,,79909e02fefeb8b6,0.881634,0.215335,,0,24.0,refreshed,2026-05-10T22:36:04+00:00
2026-05-10T19:02:52+00:00,open,highest-temperature-in-wuhan-on-may-12-2026,Highest temperature in Wuhan on May 12?,highest-temperature-in-wuhan-on-may-12-2026-32c,Highest temperature in Wuhan on May 12?,32°C,BUY_NO,taker,strategy_lab,0.25,0.67,0.011055,0.367078,0.894056,0.213001,strategy_lab_v2,highest-temperature-in-wuhan-on-may-12-2026|highest-temperature-in-wuhan-on-may-12-2026-32c|BUY_NO,good,0.0,0,0.665,0.565,"maker viable, taker expected value is higher",0.209056,0.15732,1,1.0,0.64,1,741.8789,54926697788376891345253736294925298230354450288622653427292609798187673619801,passes all stress and execution checks,0.141625,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 30°C,,30°C,,4,5,,,,,0.3282,0.0782,29.74065,31.5,32.5,celsius,,0,,pending,,,,,f9a21a0e7eb7755b,0.912498,0.231443,,0,24.0,refreshed,2026-05-10T22:36:04+00:00
2026-05-10T19:02:52+00:00,open,highest-temperature-in-lagos-on-may-11-2026,Highest temperature in Lagos on May 11?,highest-temperature-in-lagos-on-may-11-2026-33c,Highest temperature in Lagos on May 11?,33°C,BUY_NO,taker,strategy_lab,0.25,0.69,0.010695,0.356789,0.921049,0.220354,strategy_lab_v2,highest-temperature-in-lagos-on-may-11-2026|highest-temperature-in-lagos-on-may-11-2026-33c|BUY_NO,good,0.0,0,0.685,0.625,"maker viable, taker expected value is higher",0.216049,0.147862,1,1.0,0.69,1,1553.8511,93461442310982982809782366656442399033888545621994761774018147759360106748221,passes all stress and execution checks,0.132567,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 30°C,,30°C,,4,5,,,,,0.3286,0.0786,30.028463,32.5,33.5,celsius,,0,,pending,,,,,f6c06a75740d7f85,0.960616,0.259921,,0,24.0,refreshed,2026-05-10T22:36:04+00:00
2026-05-10T19:02:52+00:00,open,highest-temperature-in-madrid-on-may-12-2026,Highest temperature in Madrid on May 12?,highest-temperature-in-madrid-on-may-12-2026-18c,Highest temperature in Madrid on May 12?,18°C,BUY_NO,taker,strategy_lab,0.25,0.685,0.010789,0.359304,0.881501,0.185712,strategy_lab_v2,highest-temperature-in-madrid-on-may-12-2026|highest-temperature-in-madrid-on-may-12-2026-18c|BUY_NO,fair,0.005,0,0.655,0.515,maker fill score below 0.55,0.206501,0.166561,1,1.0,0.68,1,710.6496,91459830529507270491446331018998562341622459108611966571046701663516978838366,passes all stress and execution checks,0.126162,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 16°C or below,,16°C or below,,3,5,,,,,0.3167,0.0667,16.080117,17.5,18.5,celsius,,0,,pending,,,,,d6289444f4a68424,0.88142,0.185631,,0,24.0,refreshed,2026-05-10T22:36:04+00:00
2026-05-10T19:02:52+00:00,open,highest-temperature-in-seoul-on-may-11-2026,Highest temperature in Seoul on May 11?,highest-temperature-in-seoul-on-may-11-2026-19c,Highest temperature in Seoul on May 11?,19°C,BUY_NO,taker,strategy_lab,0.25,0.7,0.0105,0.351865,0.848806,0.138306,strategy_lab_v2,highest-temperature-in-seoul-on-may-11-2026|highest-temperature-in-seoul-on-may-11-2026-19c|BUY_NO,good,0.0,0,0.695,0.695,"maker viable, taker expected value is higher",0.133806,0.133806,1,1.0,0.69,1,2150.6586,62658110022857550489175927416890337925891377489976246933536006906049761596422,passes all stress and execution checks,0.118726,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 22°C or higher,,22°C or higher,,3,5,,,,,0.2987,0.0487,19.774205,18.5,19.5,celsius,,0,,pending,,,,,060310536dd7bae1,0.824353,0.113853,,0,24.0,refreshed,2026-05-10T22:36:04+00:00
