event_id,event_slug,event_title,event_volume,market_id,condition_id,market_slug,question,group_item_title,outcomes,outcome_prices,clob_token_ids,yes_price,no_price,yes_token_id,no_token_id,best_bid,best_ask,spread,market_volume,liquidity,neg_risk,active,closed,accepting_orders,end_date,matched_prediction_slug,prediction_c,prediction_model,interval_lower,interval_upper,interval_unit,fair_yes_probability,fair_no_probability,yes_buy_price,no_buy_price,yes_fee_per_share,no_fee_per_share,yes_net_edge,no_net_edge,strategy_version,model_sigma_c,visible_bucket_count,visible_bucket_rank,visible_top_bucket,visible_top_bucket_probability,is_visible_top_bucket,is_near_visible_top_bucket,decision_reason,risk_flags,paper_side,paper_price,paper_fair_probability,paper_net_edge,paper_decision_score,suggested_max_stake_usdc,market_has_ended,reason
439964,highest-temperature-in-taipei-on-may-4-2026,Highest temperature in Taipei on May 4?,324376.59931,2137413,0x7c67949bf2f611076eb79c6b24f6b8dcbf3d63d3621c7096b886078921acdb4e,highest-temperature-in-taipei-on-may-4-2026-24c,Will the highest temperature in Taipei be 24°C on May 4?,24°C,"[""Yes"", ""No""]","[0.9995, 0.0005]","[""115277340256667638978274990729383054709679178630339258672795922085535663097388"", ""91316954333294012316622689588601682667909272664295847375344082924499546667115""]",0.9995,0.0005,115277340256667638978274990729383054709679178630339258672795922085535663097388,91316954333294012316622689588601682667909272664295847375344082924499546667115,0.999,1.0,0.001,188859.68929199997,56388.13098,1,1,0,1,2026-05-04T12:00:00Z,highest-temperature-in-taipei-on-may-4-2026,24.646681470994558,sklearn_hist_gradient_boosting_bias_corrector,23.5,24.5,celsius,0.238752,0.761248,1.0,0.001,0.0,5e-05,-0.761248,0.760198,betting_v2_conservative,1.5,4,2,25°C,0.25423,0,1,market already ended,ended,NO_TRADE,,,,,,1,market already ended
439964,highest-temperature-in-taipei-on-may-4-2026,Highest temperature in Taipei on May 4?,324376.59931,2137414,0x588851f7cfc4b0f206a47b03ddb7cd42faadeb6b1790c94687d8da637a898cb2,highest-temperature-in-taipei-on-may-4-2026-25c,Will the highest temperature in Taipei be 25°C on May 4?,25°C,"[""Yes"", ""No""]","[0.0005, 0.9995]","[""67861072766694935636510098726866750237896031152287351480190157822997731488277"", ""46455764692179591053388832601481516794904300849652360792528697933591794838609""]",0.0005,0.9995,67861072766694935636510098726866750237896031152287351480190157822997731488277,46455764692179591053388832601481516794904300849652360792528697933591794838609,,0.001,0.001,72099.57864200001,15790.41942,1,1,0,1,2026-05-04T12:00:00Z,highest-temperature-in-taipei-on-may-4-2026,24.646681470994558,sklearn_hist_gradient_boosting_bias_corrector,24.5,25.5,celsius,0.25423,0.74577,0.001,0.9995,5e-05,2.5e-05,0.25318,-0.253755,betting_v2_conservative,1.5,4,1,25°C,0.25423,1,1,market already ended,model top bucket; ended,NO_TRADE,,,,,,1,market already ended
439964,highest-temperature-in-taipei-on-may-4-2026,Highest temperature in Taipei on May 4?,324376.59931,2137415,0x05bc3d43298250f5f7608288d81d710e2d8b7b199d8c454224aebd1231c6837b,highest-temperature-in-taipei-on-may-4-2026-26c,Will the highest temperature in Taipei be 26°C on May 4?,26°C,"[""Yes"", ""No""]","[0.0005, 0.9995]","[""68743674322445649425297662232916820689902055426183577668463805060762974426257"", ""107074326794529786921117744252344698838293821124872824444496782262188913501795""]",0.0005,0.9995,68743674322445649425297662232916820689902055426183577668463805060762974426257,107074326794529786921117744252344698838293821124872824444496782262188913501795,,0.001,0.001,17181.530633000013,37376.38637,1,1,0,1,2026-05-04T12:00:00Z,highest-temperature-in-taipei-on-may-4-2026,24.646681470994558,sklearn_hist_gradient_boosting_bias_corrector,25.5,26.5,celsius,0.176405,0.823595,0.001,0.9995,5e-05,2.5e-05,0.175355,-0.17593,betting_v2_conservative,1.5,4,3,25°C,0.25423,0,0,market already ended,ended,NO_TRADE,,,,,,1,market already ended
439964,highest-temperature-in-taipei-on-may-4-2026,Highest temperature in Taipei on May 4?,324376.59931,2137416,0xa2275e92f40d31a528e0439e2c1d45e106e74890f1c711389acfc12a99719ae1,highest-temperature-in-taipei-on-may-4-2026-27corhigher,Will the highest temperature in Taipei be 27°C or higher on May 4?,27°C or higher,"[""Yes"", ""No""]","[0.0005, 0.9995]","[""56892767464619848738218698031093926920779471945595549024966340270029015826571"", ""77771559746950060196268170117142825150999078633140178497759064567625539830470""]",0.0005,0.9995,56892767464619848738218698031093926920779471945595549024966340270029015826571,77771559746950060196268170117142825150999078633140178497759064567625539830470,,0.001,0.001,17412.08444700001,38936.69647,1,1,0,1,2026-05-04T12:00:00Z,highest-temperature-in-taipei-on-may-4-2026,24.646681470994558,sklearn_hist_gradient_boosting_bias_corrector,26.5,,celsius,0.108314,0.891686,0.001,0.9995,5e-05,2.5e-05,0.107264,-0.107839,betting_v2_conservative,1.5,4,4,25°C,0.25423,0,0,market already ended,ended,NO_TRADE,,,,,,1,market already ended
439940,highest-temperature-in-london-on-may-4-2026,Highest temperature in London on May 4?,279090.8376520001,2137143,0x5b551cfd85228fc8f5a8b0995552eecab2ff64b38ec09ef2d459bad2bee10545,highest-temperature-in-london-on-may-4-2026-15c,Will the highest temperature in London be 15°C on May 4?,15°C,"[""Yes"", ""No""]","[0.9755, 0.0245]","[""9586333944956790323226283514347121743617025649549979363348837536706995301010"", ""30381294194599328065947725817520035719340667785030638090766701113067430662488""]",0.9755,0.0245,9586333944956790323226283514347121743617025649549979363348837536706995301010,30381294194599328065947725817520035719340667785030638090766701113067430662488,0.975,0.976,0.001,76860.11918199995,1167.92949,1,1,0,1,2026-05-04T12:00:00Z,highest-temperature-in-london-on-may-4-2026,17.277227014782568,sklearn_hist_gradient_boosting_bias_corrector,14.5,15.5,celsius,0.085995,0.914005,0.976,0.025,0.001171,0.001219,-0.891176,0.887786,betting_v2_conservative,1.5,5,5,17°C,0.256856,0,0,market already ended,ended,NO_TRADE,,,,,,1,market already ended
439940,highest-temperature-in-london-on-may-4-2026,Highest temperature in London on May 4?,279090.8376520001,2137144,0x517b119398bea11d3cb9e82f6a4f13e4df7516a2fc78dcb592649e72c092d9c5,highest-temperature-in-london-on-may-4-2026-16c,Will the highest temperature in London be 16°C on May 4?,16°C,"[""Yes"", ""No""]","[0.0255, 0.9745]","[""107221806154254701586776903854997653405870622228128727115299131149798734266871"", ""69431286913360731293194453644324647251643577219105947558423514767241877416472""]",0.0255,0.9745,107221806154254701586776903854997653405870622228128727115299131149798734266871,69431286913360731293194453644324647251643577219105947558423514767241877416472,0.021,0.03,0.009,49202.69387699999,1235.90949,1,1,0,1,2026-05-04T12:00:00Z,highest-temperature-in-london-on-may-4-2026,17.277227014782568,sklearn_hist_gradient_boosting_bias_corrector,15.5,16.5,celsius,0.184132,0.815868,0.03,0.979,0.001455,0.001028,0.152677,-0.16416,betting_v2_conservative,1.5,5,3,17°C,0.256856,0,0,market already ended,ended,NO_TRADE,,,,,,1,market already ended
439940,highest-temperature-in-london-on-may-4-2026,Highest temperature in London on May 4?,279090.8376520001,2137145,0x1e412dc5b531bdba89a1bceca1c7115ea20ab89630b24289b5e209b2fe2aa2af,highest-temperature-in-london-on-may-4-2026-17c,Will the highest temperature in London be 17°C on May 4?,17°C,"[""Yes"", ""No""]","[0.0035, 0.9965]","[""33300557169888694971185532095856711304784081136553919918761914222866117057776"", ""83241354386312799814409564409429912632491655312251329972899226113900580597288""]",0.0035,0.9965,33300557169888694971185532095856711304784081136553919918761914222866117057776,83241354386312799814409564409429912632491655312251329972899226113900580597288,0.002,0.005,0.003,49047.85039500004,3032.53658,1,1,0,1,2026-05-04T12:00:00Z,highest-temperature-in-london-on-may-4-2026,17.277227014782568,sklearn_hist_gradient_boosting_bias_corrector,16.5,17.5,celsius,0.256856,0.743144,0.005,0.998,0.000249,0.0001,0.251607,-0.254955,betting_v2_conservative,1.5,5,1,17°C,0.256856,1,1,market already ended,model top bucket; ended,NO_TRADE,,,,,,1,market already ended
439940,highest-temperature-in-london-on-may-4-2026,Highest temperature in London on May 4?,279090.8376520001,2137146,0xf2ee1ee0d660d88b865dcd900a9fcae2b03a7f752c2da00250e9e36aeed8074d,highest-temperature-in-london-on-may-4-2026-18c,Will the highest temperature in London be 18°C on May 4?,18°C,"[""Yes"", ""No""]","[0.002, 0.998]","[""29974764695843769380802530691562640743646880428302351169241298123116899302025"", ""53940570502663762468828929595324720253199248424695596379610449200778060517499""]",0.002,0.998,29974764695843769380802530691562640743646880428302351169241298123116899302025,53940570502663762468828929595324720253199248424695596379610449200778060517499,0.001,0.003,0.002,28754.579967000063,1548.02013,1,1,0,1,2026-05-04T12:00:00Z,highest-temperature-in-london-on-may-4-2026,17.277227014782568,sklearn_hist_gradient_boosting_bias_corrector,17.5,18.5,celsius,0.233484,0.766516,0.003,0.999,0.00015,5e-05,0.230334,-0.232534,betting_v2_conservative,1.5,5,2,17°C,0.256856,0,1,market already ended,ended,NO_TRADE,,,,,,1,market already ended
439940,highest-temperature-in-london-on-may-4-2026,Highest temperature in London on May 4?,279090.8376520001,2137147,0x27fff950da9e3ab34a6ccd2fd31c9ec74496bb771833c8d9420e291094c8d561,highest-temperature-in-london-on-may-4-2026-19c,Will the highest temperature in London be 19°C on May 4?,19°C,"[""Yes"", ""No""]","[0.0015, 0.9985]","[""56569620355059373019613665170905267051661101909617061439452338841374300964990"", ""53439981376497713332385617157873120251045473156499385314490394574227291634385""]",0.0015,0.9985,56569620355059373019613665170905267051661101909617061439452338841374300964990,53439981376497713332385617157873120251045473156499385314490394574227291634385,0.001,0.002,0.001,26841.581841000017,2104.24855,1,1,0,1,2026-05-04T12:00:00Z,highest-temperature-in-london-on-may-4-2026,17.277227014782568,sklearn_hist_gradient_boosting_bias_corrector,18.5,19.5,celsius,0.138294,0.861706,0.002,0.999,0.0001,5e-05,0.136194,-0.137344,betting_v2_conservative,1.5,5,4,17°C,0.256856,0,0,market already ended,ended,NO_TRADE,,,,,,1,market already ended
439944,highest-temperature-in-seoul-on-may-4-2026,Highest temperature in Seoul on May 4?,210027.35808100007,2137192,0xdd14d7fef1522ebd964d94e3c220eb40cf9529bd2d99bf6b5407cf34063cead0,highest-temperature-in-seoul-on-may-4-2026-18c,Will the highest temperature in Seoul be 18°C on May 4?,18°C,"[""Yes"", ""No""]","[0.9995, 0.0005]","[""15310827524470025579232768188593871056094977874795001138710161352463057020112"", ""22418507373516213848680884588893939531843073542547694337180541307654051998022""]",0.9995,0.0005,15310827524470025579232768188593871056094977874795001138710161352463057020112,22418507373516213848680884588893939531843073542547694337180541307654051998022,0.999,1.0,0.001,29555.95767000003,31901.94218,1,1,0,1,2026-05-04T12:00:00Z,highest-temperature-in-seoul-on-may-4-2026,17.54728202333887,sklearn_hist_gradient_boosting_bias_corrector,17.5,18.5,celsius,0.249906,0.750094,1.0,0.001,0.0,5e-05,-0.750094,0.749044,betting_v2_conservative,1.5,3,1,18°C,0.249906,1,1,market already ended,model top bucket; ended,NO_TRADE,,,,,,1,market already ended
