opened_at,status,event_slug,event_title,market_slug,question,group_item_title,side,entry_mode,paper_source,stake_usdc,price,fee_per_share,shares,fair_probability,net_edge,strategy_version,strategy_candidate_id,execution_quality,execution_slippage,maker_preferred,maker_quote_price,maker_fill_score,maker_reason,maker_edge_if_filled,maker_worst_edge,robust_reason,worst_edge,stress_pass_rate,decision_reason,risk_flags,visible_top_bucket,visible_top_bucket_probability,visible_bucket_rank,visible_bucket_count,fair_yes_probability,fair_no_probability,yes_net_edge,no_net_edge,expected_payout_usdc,expected_pnl_usdc,prediction_c,interval_lower,interval_upper,interval_unit,end_date,market_has_ended,actual_value,actual_status,won,payout_usdc,pnl_usdc,roi_pct,trade_id
2026-05-05T09:15:24+00:00,open,highest-temperature-in-jakarta-on-may-5-2026,Highest temperature in Jakarta on May 5?,highest-temperature-in-jakarta-on-may-5-2026-34c,Highest temperature in Jakarta on May 5?,34°C,BUY_NO,taker,strategy_lab,5.0,0.465,0.012439,10.472548,0.99775,0.520311,strategy_lab_v2,highest-temperature-in-jakarta-on-may-5-2026|highest-temperature-in-jakarta-on-may-5-2026-34c|BUY_NO,fair,0.015,0,0.415,0.52375,"maker viable, taker expected value is higher",0.57275,0.521492,passes all stress and execution checks,0.459023,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 31°C,,31°C,,4,5,,,,,10.449,5.449,29.290887,33.5,34.5,celsius,,0,,,,,,,00e42640d5330840
2026-05-05T09:15:24+00:00,open,highest-temperature-in-san-francisco-on-may-5-2026,Highest temperature in San Francisco on May 5?,highest-temperature-in-san-francisco-on-may-5-2026-62-63f,Highest temperature in San Francisco on May 5?,62-63°F,BUY_NO,taker,strategy_lab,5.0,0.55,0.012375,8.890865,0.965387,0.403012,strategy_lab_v2,highest-temperature-in-san-francisco-on-may-5-2026|highest-temperature-in-san-francisco-on-may-5-2026-62-63f|BUY_NO,good,0.0,0,0.545,0.625,"maker viable, taker expected value is higher",0.410387,0.321082,passes all stress and execution checks,0.303762,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 58-59°F,,58-59°F,,3,5,,,,,8.5831,3.5831,14.061809,62.0,64.0,fahrenheit,,0,,,,,,,d1521d05b82b769c
2026-05-05T09:15:24+00:00,open,highest-temperature-in-beijing-on-may-5-2026,Highest temperature in Beijing on May 5?,highest-temperature-in-beijing-on-may-5-2026-28corbelow,Highest temperature in Beijing on May 5?,28°C or below,BUY_YES,taker,strategy_lab,5.0,0.065,0.003039,73.487535,0.620274,0.552235,strategy_lab_v2,highest-temperature-in-beijing-on-may-5-2026|highest-temperature-in-beijing-on-may-5-2026-28corbelow|BUY_YES,fair,0.005,0,0.055,0.6325,"maker viable, taker expected value is higher",0.555274,0.294249,passes all stress and execution checks,0.28078,1.0,BUY_YES: our bucket probability is above market ask after fee; rank 1 of 5,model top bucket,28°C or below,,1,5,,,,,45.5824,40.5824,28.040701,,28.5,celsius,,0,,,,,,,fd033897a31f9b37
2026-05-05T09:15:24+00:00,open,highest-temperature-in-shanghai-on-may-5-2026,Highest temperature in Shanghai on May 5?,highest-temperature-in-shanghai-on-may-5-2026-25c,Highest temperature in Shanghai on May 5?,25°C,BUY_NO,taker,strategy_lab,5.0,0.515,0.012489,9.478875,0.87691,0.349421,strategy_lab_v2,highest-temperature-in-shanghai-on-may-5-2026|highest-temperature-in-shanghai-on-may-5-2026-25c|BUY_NO,fair,0.015,0,0.465,0.52375,"maker viable, taker expected value is higher",0.40191,0.303278,passes all stress and execution checks,0.240809,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 23°C,,23°C,,3,5,,,,,8.3121,3.3121,23.126049,24.5,25.5,celsius,,0,,,,,,,a19269fc7048aecd
2026-05-05T09:15:24+00:00,open,highest-temperature-in-miami-on-may-5-2026,Highest temperature in Miami on May 5?,highest-temperature-in-miami-on-may-5-2026-86-87f,Highest temperature in Miami on May 5?,86-87°F,BUY_NO,taker,strategy_lab,5.0,0.595,0.012049,8.236571,0.947411,0.340362,strategy_lab_v2,highest-temperature-in-miami-on-may-5-2026|highest-temperature-in-miami-on-may-5-2026-86-87f|BUY_NO,fair,0.005,0,0.565,0.585,"maker viable, taker expected value is higher",0.372411,0.279622,passes all stress and execution checks,0.237673,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 82-83°F,,82-83°F,,3,5,,,,,7.8034,2.8034,27.723493,86.0,88.0,fahrenheit,,0,,,,,,,74ac2eda535eea75
2026-05-05T09:15:24+00:00,open,highest-temperature-in-lagos-on-may-5-2026,Highest temperature in Lagos on May 5?,highest-temperature-in-lagos-on-may-5-2026-34c,Highest temperature in Lagos on May 5?,34°C,BUY_NO,taker,strategy_lab,5.0,0.66,0.01122,7.449122,0.985727,0.314507,strategy_lab_v2,highest-temperature-in-lagos-on-may-5-2026|highest-temperature-in-lagos-on-may-5-2026-34c|BUY_NO,poor,0.02,0,0.585,0.5175,"maker viable, taker expected value is higher",0.390727,0.315196,passes all stress and execution checks,0.229141,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 31°C,wide spread,31°C,,4,5,,,,,7.3428,2.3428,30.317025,33.5,34.5,celsius,,0,,,,,,,85891047cdfe3c8a
2026-05-05T09:15:24+00:00,open,highest-temperature-in-buenos-aires-on-may-5-2026,Highest temperature in Buenos Aires on May 5?,highest-temperature-in-buenos-aires-on-may-5-2026-24c,Highest temperature in Buenos Aires on May 5?,24°C,BUY_NO,taker,strategy_lab,5.0,0.635,0.011589,7.73289,0.940627,0.294038,strategy_lab_v2,highest-temperature-in-buenos-aires-on-may-5-2026|highest-temperature-in-buenos-aires-on-may-5-2026-24c|BUY_NO,fair,0.005,0,0.605,0.515,"maker viable, taker expected value is higher",0.325627,0.237136,passes all stress and execution checks,0.195687,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 22°C,,22°C,,3,5,,,,,7.2738,2.2738,21.370418,23.5,24.5,celsius,,0,,,,,,,05ed8b11215b54b5
2026-05-05T09:15:24+00:00,open,highest-temperature-in-cape-town-on-may-5-2026,Highest temperature in Cape Town on May 5?,highest-temperature-in-cape-town-on-may-5-2026-18c,Highest temperature in Cape Town on May 5?,18°C,BUY_NO,taker,strategy_lab,5.0,0.565,0.012289,8.661177,0.870836,0.293547,strategy_lab_v2,highest-temperature-in-cape-town-on-may-5-2026|highest-temperature-in-cape-town-on-may-5-2026-18c|BUY_NO,fair,0.005,0,0.535,0.515,"maker viable, taker expected value is higher",0.325836,0.228339,passes all stress and execution checks,0.18612,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 16°C,,16°C,,4,5,,,,,7.5425,2.5425,16.18704,17.5,18.5,celsius,,0,,,,,,,ca4bb8fde26b3878
2026-05-05T09:15:24+00:00,open,highest-temperature-in-wuhan-on-may-5-2026,Highest temperature in Wuhan on May 5?,highest-temperature-in-wuhan-on-may-5-2026-30c,Highest temperature in Wuhan on May 5?,30°C,BUY_NO,taker,strategy_lab,5.0,0.645,0.011449,7.616741,0.939906,0.283457,strategy_lab_v2,highest-temperature-in-wuhan-on-may-5-2026|highest-temperature-in-wuhan-on-may-5-2026-30c|BUY_NO,fair,0.015,0,0.605,0.3775,"maker viable, taker expected value is higher",0.324906,0.236026,passes all stress and execution checks,0.184728,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 28°C,,28°C,,3,5,,,,,7.159,2.159,27.381162,29.5,30.5,celsius,,0,,,,,,,74c70d185e147193
2026-05-05T09:15:24+00:00,open,highest-temperature-in-sao-paulo-on-may-5-2026,Highest temperature in Sao Paulo on May 5?,highest-temperature-in-sao-paulo-on-may-5-2026-28c,Highest temperature in Sao Paulo on May 5?,28°C,BUY_NO,taker,strategy_lab,5.0,0.545,0.012399,8.970239,0.824833,0.267434,strategy_lab_v2,highest-temperature-in-sao-paulo-on-may-5-2026|highest-temperature-in-sao-paulo-on-may-5-2026-28c|BUY_NO,fair,0.005,0,0.515,0.515,"maker viable, taker expected value is higher",0.299833,0.221243,passes all stress and execution checks,0.178894,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 27°C,,27°C,,2,5,,,,,7.3989,2.3989,26.63458,27.5,28.5,celsius,,0,,,,,,,6f589497354bf076
2026-05-05T09:15:24+00:00,open,highest-temperature-in-atlanta-on-may-5-2026,Highest temperature in Atlanta on May 5?,highest-temperature-in-atlanta-on-may-5-2026-80-81f,Highest temperature in Atlanta on May 5?,80-81°F,BUY_NO,taker,strategy_lab,5.0,0.58,0.01218,8.443379,0.893013,0.300833,strategy_lab_v2,highest-temperature-in-atlanta-on-may-5-2026|highest-temperature-in-atlanta-on-may-5-2026-80-81f|BUY_NO,good,0.0,0,0.565,0.6025,"maker viable, taker expected value is higher",0.318013,0.208197,passes all stress and execution checks,0.181102,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 76-77°F,,76-77°F,,3,5,,,,,7.54,2.54,25.059308,80.0,82.0,fahrenheit,,0,,,,,,,56b7aae4dbd225b6
2026-05-05T09:15:24+00:00,open,highest-temperature-in-singapore-on-may-5-2026,Highest temperature in Singapore on May 5?,highest-temperature-in-singapore-on-may-5-2026-32c,Highest temperature in Singapore on May 5?,32°C,BUY_NO,taker,strategy_lab,5.0,0.555,0.012349,8.812922,0.840597,0.273248,strategy_lab_v2,highest-temperature-in-singapore-on-may-5-2026|highest-temperature-in-singapore-on-may-5-2026-32c|BUY_NO,fair,0.005,0,0.545,0.6325,"maker viable, taker expected value is higher",0.285597,0.198468,passes all stress and execution checks,0.17618,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 30°C,,30°C,,3,5,,,,,7.4081,2.4081,30.481878,31.5,32.5,celsius,,0,,,,,,,527b2e6e04c7f242
