opened_at,status,event_slug,event_title,market_slug,question,group_item_title,side,entry_mode,paper_source,stake_usdc,price,fee_per_share,shares,fair_probability,net_edge,strategy_version,strategy_candidate_id,execution_quality,execution_slippage,maker_preferred,maker_quote_price,maker_fill_score,maker_reason,maker_edge_if_filled,maker_worst_edge,robust_reason,worst_edge,stress_pass_rate,decision_reason,risk_flags,visible_top_bucket,visible_top_bucket_probability,visible_bucket_rank,visible_bucket_count,fair_yes_probability,fair_no_probability,yes_net_edge,no_net_edge,expected_payout_usdc,expected_pnl_usdc,prediction_c,interval_lower,interval_upper,interval_unit,end_date,market_has_ended,actual_value,actual_status,won,payout_usdc,pnl_usdc,roi_pct,trade_id
2026-05-05T11:40:05+00:00,open,lowest-temperature-in-nyc-on-may-5-2026,Lowest temperature in NYC on May 5?,lowest-temperature-in-nyc-on-may-5-2026-56-57f,Lowest temperature in NYC on May 5?,56-57°F,BUY_NO,taker,strategy_lab,2.5,0.065,0.003039,36.743767,0.967798,0.899759,strategy_lab_v2,lowest-temperature-in-nyc-on-may-5-2026|lowest-temperature-in-nyc-on-may-5-2026-56-57f|BUY_NO,fair,0.005,0,0.055,0.5625,"maker viable, taker expected value is higher",0.902798,0.81455,passes all stress and execution checks,0.801081,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 51°F or below,,51°F or below,,4,5,,,,,35.5605,33.0605,10.675214,56.0,58.0,fahrenheit,,0,,,,,,,194b22d6858571dd
2026-05-05T11:40:05+00:00,open,highest-temperature-in-guangzhou-on-may-5-2026,Highest temperature in Guangzhou on May 5?,highest-temperature-in-guangzhou-on-may-5-2026-23c,Highest temperature in Guangzhou on May 5?,23°C,BUY_NO,taker,strategy_lab,2.5,0.088,0.004013,27.170133,0.970934,0.878921,strategy_lab_v2,highest-temperature-in-guangzhou-on-may-5-2026|highest-temperature-in-guangzhou-on-may-5-2026-23c|BUY_NO,fair,0.01,0,0.077,0.3145,maker fill score below 0.35,0.883934,0.803913,passes all stress and execution checks,0.788493,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 26°C or higher,,26°C or higher,,4,4,,,,,26.3804,23.8804,26.201144,22.5,23.5,celsius,,0,,,,,,,5a0cd5eddee21b7f
2026-05-05T11:40:05+00:00,open,lowest-temperature-in-tokyo-on-may-5-2026,Lowest temperature in Tokyo on May 5?,lowest-temperature-in-tokyo-on-may-5-2026-14c,Lowest temperature in Tokyo on May 5?,14°C,BUY_NO,taker,strategy_lab,2.5,0.013,0.000642,183.263632,0.902978,0.889336,strategy_lab_v2,lowest-temperature-in-tokyo-on-may-5-2026|lowest-temperature-in-tokyo-on-may-5-2026-14c|BUY_NO,good,0.005,1,0.007,0.82,maker preferred,0.885978,0.786282,passes all stress and execution checks,0.779159,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 12°C,,12°C,,5,5,,,,,165.483,162.983,11.849974,13.5,14.5,celsius,,0,,,,,,,17b5bf646ec201cc
2026-05-05T11:40:05+00:00,open,highest-temperature-in-karachi-on-may-5-2026,Highest temperature in Karachi on May 5?,highest-temperature-in-karachi-on-may-5-2026-37c,Highest temperature in Karachi on May 5?,37°C,BUY_NO,taker,strategy_lab,2.5,0.048,0.002285,49.716813,0.765208,0.714923,strategy_lab_v2,highest-temperature-in-karachi-on-may-5-2026|highest-temperature-in-karachi-on-may-5-2026-37c|BUY_NO,fair,0.015,1,0.008,0.4475,maker preferred,0.747208,0.72572,passes all stress and execution checks,0.682988,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 38°C or higher,few visible buckets,38°C or higher,,2,2,,,,,38.0437,35.5437,37.704492,36.5,37.5,celsius,,0,,,,,,,9bb1a287cca4a466
2026-05-05T11:40:05+00:00,open,highest-temperature-in-san-francisco-on-may-7-2026,Highest temperature in San Francisco on May 7?,highest-temperature-in-san-francisco-on-may-7-2026-66forhigher,Highest temperature in San Francisco on May 7?,66°F or higher,BUY_YES,taker,strategy_lab,2.5,0.17,0.007055,14.119906,0.993166,0.816111,strategy_lab_v2,highest-temperature-in-san-francisco-on-may-7-2026|highest-temperature-in-san-francisco-on-may-7-2026-66forhigher|BUY_YES,fair,0.01,0,0.155,0.4275,"maker viable, taker expected value is higher",0.828166,0.694824,passes all stress and execution checks,0.672444,1.0,BUY_YES: our bucket probability is above market ask after fee; rank 1 of 5,model top bucket,66°F or higher,,1,5,,,,,14.0234,11.5234,22.309932,65.5,,fahrenheit,,0,,,,,,,2daf024e7a680bb5
2026-05-05T11:40:05+00:00,open,highest-temperature-in-taipei-on-may-5-2026,Highest temperature in Taipei on May 5?,highest-temperature-in-taipei-on-may-5-2026-21c,Highest temperature in Taipei on May 5?,21°C,BUY_NO,taker,strategy_lab,2.5,0.082,0.003764,29.149828,0.857188,0.771424,strategy_lab_v2,highest-temperature-in-taipei-on-may-5-2026|highest-temperature-in-taipei-on-may-5-2026-21c|BUY_NO,fair,0.01,0,0.065,0.524,"maker viable, taker expected value is higher",0.782188,0.688404,passes all stress and execution checks,0.667227,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 23°C,,23°C,,4,5,,,,,24.9869,22.4869,22.678648,20.5,21.5,celsius,,0,,,,,,,e21b3e6eed8c03d3
2026-05-05T11:40:05+00:00,open,highest-temperature-in-houston-on-may-6-2026,Highest temperature in Houston on May 6?,highest-temperature-in-houston-on-may-6-2026-81forbelow,Highest temperature in Houston on May 6?,81°F or below,BUY_YES,taker,strategy_lab,2.5,0.1,0.0045,23.923445,0.789045,0.684545,strategy_lab_v2,highest-temperature-in-houston-on-may-6-2026|highest-temperature-in-houston-on-may-6-2026-81forbelow|BUY_YES,good,0.0,0,0.085,0.6025,"maker viable, taker expected value is higher",0.694045,0.437624,passes all stress and execution checks,0.417729,1.0,BUY_YES: our bucket probability is above market ask after fee; rank 1 of 5,model top bucket,81°F or below,,1,5,,,,,18.8767,16.3767,26.29533,,81.5,fahrenheit,,0,,,,,,,3d978be316b340e9
2026-05-05T11:40:05+00:00,open,highest-temperature-in-san-francisco-on-may-5-2026,Highest temperature in San Francisco on May 5?,highest-temperature-in-san-francisco-on-may-5-2026-62-63f,Highest temperature in San Francisco on May 5?,62-63°F,BUY_NO,taker,strategy_lab,2.5,0.35,0.011375,6.918021,0.84895,0.487575,strategy_lab_v2,highest-temperature-in-san-francisco-on-may-5-2026|highest-temperature-in-san-francisco-on-may-5-2026-62-63f|BUY_NO,fair,0.01,0,0.335,0.5575,"maker viable, taker expected value is higher",0.50395,0.398429,passes all stress and execution checks,0.371909,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 58-59°F,,58-59°F,,3,5,,,,,5.8731,3.3731,15.47456,62.0,64.0,fahrenheit,,0,,,,,,,708e3506dee57946
2026-05-05T11:40:05+00:00,open,highest-temperature-in-jakarta-on-may-6-2026,Highest temperature in Jakarta on May 6?,highest-temperature-in-jakarta-on-may-6-2026-34c,Highest temperature in Jakarta on May 6?,34°C,BUY_NO,taker,strategy_lab,2.5,0.56,0.01232,4.368186,0.964199,0.391879,strategy_lab_v2,highest-temperature-in-jakarta-on-may-6-2026|highest-temperature-in-jakarta-on-may-6-2026-34c|BUY_NO,fair,0.01,0,0.515,0.51625,"maker viable, taker expected value is higher",0.439199,0.356718,passes all stress and execution checks,0.299463,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 32°C,,32°C,,3,5,,,,,4.2118,1.7118,30.954505,33.5,34.5,celsius,,0,,,,,,,5ec81190fe3e212c
2026-05-05T11:40:05+00:00,open,highest-temperature-in-lagos-on-may-5-2026,Highest temperature in Lagos on May 5?,highest-temperature-in-lagos-on-may-5-2026-34c,Highest temperature in Lagos on May 5?,34°C,BUY_NO,taker,strategy_lab,2.5,0.545,0.012399,4.485119,0.950293,0.392894,strategy_lab_v2,highest-temperature-in-lagos-on-may-5-2026|highest-temperature-in-lagos-on-may-5-2026-34c|BUY_NO,fair,0.015,0,0.505,0.4475,"maker viable, taker expected value is higher",0.435293,0.35122,passes all stress and execution checks,0.298871,1.0,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 31°C,,31°C,,4,5,,,,,4.2622,1.7622,31.217214,33.5,34.5,celsius,,0,,,,,,,399928d6c847417c
