candidate_id,event_slug,event_title,market_city,market_date,market_extreme,market_slug,group_item_title,side,price,base_fair_probability,base_edge,base_expected_roi,execution_price,execution_slippage,execution_quality,execution_flags,execution_base_edge,execution_expected_roi,maker_quote_price,maker_price_improvement,maker_fill_score,maker_eligible,maker_edge_if_filled,maker_worst_edge,maker_expected_roi_if_filled,maker_fill_adjusted_expected_roi,maker_preferred,maker_reason,maker_adverse_selection_penalty,quote_spread,quote_liquidity,quote_market_volume,worst_edge,mean_edge,best_edge,min_stress_fair_probability,max_stress_fair_probability,stress_pass_rate,negative_scenarios,failed_scenarios,robust_min_edge,robust_pass,robust_score,sensitivity_to_stress,worst_scenario,stress_summary,robust_reason,prediction_c,interval_lower,interval_upper,interval_unit,visible_top_bucket,visible_bucket_rank,visible_bucket_count,risk_flags,decision_reason,market_has_ended,suggested_max_stake_usdc,selected,stake_usdc,base_expected_pnl_usdc,execution_expected_pnl_usdc
highest-temperature-in-hong-kong-on-may-5-2026|highest-temperature-in-hong-kong-on-may-5-2026-24c|BUY_YES,highest-temperature-in-hong-kong-on-may-5-2026,Highest temperature in Hong Kong on May 5?,Hong Kong,May 5,highest,highest-temperature-in-hong-kong-on-may-5-2026-24c,24°C,BUY_YES,0.07,0.218354,0.145099,1.980739,0.07,0.0,good,,0.145099,1.980739,0.055,0.015,0.6025,1,0.153354,0.053713,2.788255,1.679923,0,"maker viable, taker expected value is higher",0.01,0.02,1362.4999,17988.527446,0.035033,0.091009,0.187448,0.118713,0.260703,1.0,0,0,0.01,1,0.034027,0.110066,shift=-1.0C sigma=2.5C slip=0.010,worst shift=-1.0C sigma=2.5C slip=0.010 edge=0.0350; best shift=+1.0C sigma=1.5C slip=0.000 edge=0.1874,passes all stress and execution checks,23.086071,23.5,24.5,celsius,23°C,2,5,,BUY_YES: our bucket probability is above market ask after fee; rank 2 of 5,0,,0,,,
highest-temperature-in-hong-kong-on-may-5-2026|highest-temperature-in-hong-kong-on-may-5-2026-25c|BUY_YES,highest-temperature-in-hong-kong-on-may-5-2026,Highest temperature in Hong Kong on May 5?,Hong Kong,May 5,highest,highest-temperature-in-hong-kong-on-may-5-2026-25c,25°C,BUY_YES,0.006,0.119161,0.112863,17.91985,0.011,0.005,good,extreme price,0.107617,9.322377,0.005,0.001,0.7955,1,0.104161,0.027352,20.8322,16.572015,1,maker preferred,0.01,0.004,1411.09021,19494.710284,0.020325,0.105679,0.20681,0.042352,0.218354,1.0,0,0,0.01,1,0.021071,0.092538,shift=-1.0C sigma=1.5C slip=0.010,worst shift=-1.0C sigma=1.5C slip=0.010 edge=0.0203; best shift=+1.0C sigma=1.5C slip=0.000 edge=0.2068,passes all stress and execution checks,23.086071,24.5,25.5,celsius,23°C,3,5,,BUY_YES: our bucket probability is above market ask after fee; rank 3 of 5,0,,0,,,
highest-temperature-in-paris-on-may-5-2026|highest-temperature-in-paris-on-may-5-2026-16c|BUY_NO,highest-temperature-in-paris-on-may-5-2026,Highest temperature in Paris on May 5?,Paris,May 5,highest,highest-temperature-in-paris-on-may-5-2026-16c,16°C,BUY_NO,0.8,0.896953,0.088953,0.11009,0.805,0.005,fair,moderate liquidity,0.084104,0.103469,0.795,0.005,0.6325,0,0.091953,-0.008069,0.115664,0.073158,0,maker worst stress edge not positive,0.01,0.01,613.3189,8593.536918,-0.025608,0.0689,0.153098,0.796931,0.965947,0.833333,2,3,0.01,0,-0.028731,0.114561,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=-0.0256; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.1531,negative edge under shift=+1.0C sigma=1.5C slip=0.010,13.916408,15.5,16.5,celsius,15°C,2,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 15°C,0,,0,,,
highest-temperature-in-london-on-may-5-2026|highest-temperature-in-london-on-may-5-2026-15c|BUY_YES,highest-temperature-in-london-on-may-5-2026,Highest temperature in London on May 5?,London,May 5,highest,highest-temperature-in-london-on-may-5-2026-15c,15°C,BUY_YES,0.089,0.189964,0.09691,1.041439,0.089,0.0,good,,0.09691,1.041439,0.079,0.01,0.63,1,0.100964,0.001965,1.278025,0.805156,0,"maker viable, taker expected value is higher",0.01,0.015,1810.90443,16991.970432,-0.012495,0.058925,0.165398,0.090965,0.258452,0.777778,2,4,0.01,0,-0.015658,0.109405,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=-0.0125; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.1654,negative edge under shift=+1.0C sigma=1.5C slip=0.010,16.218895,14.5,15.5,celsius,16°C,3,5,,BUY_YES: our bucket probability is above market ask after fee; rank 3 of 5,0,,0,,,
highest-temperature-in-london-on-may-5-2026|highest-temperature-in-london-on-may-5-2026-14c|BUY_YES,highest-temperature-in-london-on-may-5-2026,Highest temperature in London on May 5?,London,May 5,highest,highest-temperature-in-london-on-may-5-2026-14c,14°C,BUY_YES,0.023,0.090965,0.066841,2.770797,0.023,0.0,good,,0.066841,2.770797,0.022,0.001,0.452,0,0.058965,-0.003636,2.680227,1.211463,0,maker worst stress edge not positive,0.01,0.001,1582.89379,14311.918194,-0.006231,0.076846,0.16584,0.028364,0.189964,0.888889,1,2,0.01,0,-0.00465,0.073072,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=-0.0062; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.1658,negative edge under shift=+1.0C sigma=1.5C slip=0.010,16.218895,13.5,14.5,celsius,16°C,5,5,,BUY_YES: our bucket probability is above market ask after fee; rank 5 of 5,0,,0,,,
highest-temperature-in-singapore-on-may-5-2026|highest-temperature-in-singapore-on-may-5-2026-33c|BUY_YES,highest-temperature-in-singapore-on-may-5-2026,Highest temperature in Singapore on May 5?,Singapore,May 5,highest,highest-temperature-in-singapore-on-may-5-2026-33c,33°C,BUY_YES,0.009,0.082601,0.073155,7.744594,0.014,0.005,good,extreme price,0.067911,4.622864,0.006,0.003,0.74725,1,0.066601,0.008682,11.100167,8.2946,1,maker preferred,0.01,0.008,1519.1259,17092.941806,-0.000489,0.081046,0.165303,0.024682,0.179994,0.888889,1,2,0.01,0,0.001035,0.073644,shift=-1.0C sigma=1.5C slip=0.010,worst shift=-1.0C sigma=1.5C slip=0.010 edge=-0.0005; best shift=+1.0C sigma=1.5C slip=0.000 edge=0.1653,negative edge under shift=-1.0C sigma=1.5C slip=0.010,30.681878,32.5,33.5,celsius,32°C,2,3,,BUY_YES: our bucket probability is above market ask after fee; rank 2 of 3,0,,0,,,
highest-temperature-in-nyc-on-may-5-2026|highest-temperature-in-nyc-on-may-5-2026-82-83f|BUY_YES,highest-temperature-in-nyc-on-may-5-2026,Highest temperature in NYC on May 5?,NYC,May 5,highest,highest-temperature-in-nyc-on-may-5-2026-82-83f,82-83°F,BUY_YES,0.05,0.122707,0.070332,1.342854,0.055,0.005,fair,moderate liquidity,0.065108,1.130376,0.049,0.001,0.6935,0,0.063707,-0.016739,1.300143,0.901649,0,maker worst stress edge not positive,0.01,0.003,916.02274,5656.983975,-0.025778,0.067661,0.17523,0.042261,0.232829,0.833333,2,3,0.01,0,-0.027056,0.09611,shift=-1.0C sigma=1.5C slip=0.010,worst shift=-1.0C sigma=1.5C slip=0.010 edge=-0.0258; best shift=+1.0C sigma=1.5C slip=0.000 edge=0.1752,negative edge under shift=-1.0C sigma=1.5C slip=0.010,26.32515,82.0,84.0,fahrenheit,78-79°F,4,5,,BUY_YES: our bucket probability is above market ask after fee; rank 4 of 5,0,,0,,,
highest-temperature-in-qingdao-on-may-5-2026|highest-temperature-in-qingdao-on-may-5-2026-21c|BUY_NO,highest-temperature-in-qingdao-on-may-5-2026,Highest temperature in Qingdao on May 5?,Qingdao,May 5,highest,highest-temperature-in-qingdao-on-may-5-2026-21c,21°C,BUY_NO,0.069,0.92165,0.849438,11.763123,0.0925,0.0235,poor,wide spread; moderate liquidity,0.824953,8.531301,0.017,0.052,0.526974,1,0.89465,0.798376,52.626471,27.732782,1,maker preferred,0.01,0.057,993.12624,13648.583197,0.718277,0.799871,0.880414,0.825376,0.977111,1.0,0,0,0.01,0,0.715161,0.131161,shift=-1.0C sigma=1.5C slip=0.010,worst shift=-1.0C sigma=1.5C slip=0.010 edge=0.7183; best shift=+1.0C sigma=1.5C slip=0.000 edge=0.8804,execution slippage above 0.020: 0.024,23.37072,20.5,21.5,celsius,23°C,5,5,wide spread,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 23°C,0,,0,,,
highest-temperature-in-qingdao-on-may-5-2026|highest-temperature-in-qingdao-on-may-5-2026-22c|BUY_YES,highest-temperature-in-qingdao-on-may-5-2026,Highest temperature in Qingdao on May 5?,Qingdao,May 5,highest,highest-temperature-in-qingdao-on-may-5-2026-22c,22°C,BUY_YES,0.037,0.174624,0.135842,3.50276,0.0505,0.0135,fair,spread penalty; thin liquidity,0.121727,2.301178,0.015,0.022,0.449833,1,0.149624,0.05335,9.974933,4.487054,1,maker preferred,0.01,0.027,321.831,5357.405829,0.015008,0.092091,0.200648,0.07835,0.253546,1.0,0,0,0.01,1,0.012924,0.120834,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.0150; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.2006,passes all stress and execution checks,23.37072,21.5,22.5,celsius,23°C,3,5,,BUY_YES: our bucket probability is above market ask after fee; rank 3 of 5,0,,0,,,
highest-temperature-in-qingdao-on-may-5-2026|highest-temperature-in-qingdao-on-may-5-2026-25c|BUY_YES,highest-temperature-in-qingdao-on-may-5-2026,Highest temperature in Qingdao on May 5?,Qingdao,May 5,highest,highest-temperature-in-qingdao-on-may-5-2026-25c,25°C,BUY_YES,0.01,0.147895,0.1374,13.091949,0.025,0.015,fair,thin liquidity; extreme price,0.121676,4.64081,0.006,0.004,0.5805,1,0.131895,0.043393,21.9825,12.760841,1,maker preferred,0.01,0.009,354.17904,2263.351631,0.022704,0.105948,0.213671,0.059393,0.23989,1.0,0,0,0.01,1,0.021235,0.114696,shift=-1.0C sigma=1.5C slip=0.010,worst shift=-1.0C sigma=1.5C slip=0.010 edge=0.0227; best shift=+1.0C sigma=1.5C slip=0.000 edge=0.2137,passes all stress and execution checks,23.37072,24.5,25.5,celsius,23°C,4,5,,BUY_YES: our bucket probability is above market ask after fee; rank 4 of 5,0,,0,,,
