candidate_id,event_slug,event_title,market_city,market_date,market_extreme,market_slug,group_item_title,side,price,base_fair_probability,base_edge,base_expected_roi,execution_price,execution_slippage,execution_quality,execution_flags,execution_base_edge,execution_expected_roi,maker_quote_price,maker_price_improvement,maker_fill_score,maker_eligible,maker_edge_if_filled,maker_worst_edge,maker_expected_roi_if_filled,maker_fill_adjusted_expected_roi,maker_preferred,maker_reason,maker_adverse_selection_penalty,quote_spread,quote_liquidity,quote_market_volume,worst_edge,mean_edge,best_edge,min_stress_fair_probability,max_stress_fair_probability,stress_pass_rate,negative_scenarios,failed_scenarios,robust_min_edge,robust_pass,robust_score,sensitivity_to_stress,worst_scenario,stress_summary,robust_reason,prediction_c,interval_lower,interval_upper,interval_unit,visible_top_bucket,visible_bucket_rank,visible_bucket_count,risk_flags,decision_reason,market_has_ended,suggested_max_stake_usdc,selected,stake_usdc,base_expected_pnl_usdc,execution_expected_pnl_usdc,maker_expected_pnl_if_filled_usdc,maker_fill_adjusted_expected_pnl_usdc
lowest-temperature-in-nyc-on-may-5-2026|lowest-temperature-in-nyc-on-may-5-2026-56-57f|BUY_NO,lowest-temperature-in-nyc-on-may-5-2026,Lowest temperature in NYC on May 5?,NYC,May 5,lowest,lowest-temperature-in-nyc-on-may-5-2026-56-57f,56-57°F,BUY_NO,0.06,0.967798,0.904978,14.40589,0.065,0.005,fair,moderate liquidity,0.899759,13.224218,0.055,0.005,0.5625,1,0.902798,0.81455,16.414509,9.233161,0,"maker viable, taker expected value is higher",0.01,0.01,504.3062,903.119747,0.801081,0.861218,0.92533,0.87955,0.993369,1.0,0,0,0.01,1,0.800691,0.103897,shift=+1.0C sigma=2.0C slip=0.010,worst shift=+1.0C sigma=2.0C slip=0.010 edge=0.8011; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.9253,passes all stress and execution checks,10.675214,56.0,58.0,fahrenheit,51°F or below,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 51°F or below,0,,1,2.5,36.014725,33.060545,41.036272,23.082903
highest-temperature-in-guangzhou-on-may-5-2026|highest-temperature-in-guangzhou-on-may-5-2026-23c|BUY_NO,highest-temperature-in-guangzhou-on-may-5-2026,Highest temperature in Guangzhou on May 5?,Guangzhou,May 5,highest,highest-temperature-in-guangzhou-on-may-5-2026-23c,23°C,BUY_NO,0.078,0.970934,0.889338,10.899313,0.088,0.01,fair,thin liquidity,0.878921,9.552162,0.077,0.001,0.3145,0,0.883934,0.803913,11.479662,3.610354,0,maker fill score below 0.35,0.01,0.001,150.47641,6196.485723,0.788493,0.84348,0.902045,0.890913,0.994058,1.0,0,0,0.01,1,0.788408,0.100845,shift=-1.0C sigma=2.0C slip=0.010,worst shift=-1.0C sigma=2.0C slip=0.010 edge=0.7885; best shift=+1.0C sigma=1.5C slip=0.000 edge=0.9020,passes all stress and execution checks,26.201144,22.5,23.5,celsius,26°C or higher,4,4,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 26°C or higher,0,,1,2.5,27.248282,23.880405,28.699155,9.025885
lowest-temperature-in-tokyo-on-may-5-2026|lowest-temperature-in-tokyo-on-may-5-2026-14c|BUY_NO,lowest-temperature-in-tokyo-on-may-5-2026,Lowest temperature in Tokyo on May 5?,Tokyo,May 5,lowest,lowest-temperature-in-tokyo-on-may-5-2026-14c,14°C,BUY_NO,0.008,0.902978,0.894582,106.538348,0.013,0.005,good,extreme price,0.889336,65.193211,0.007,0.001,0.82,1,0.885978,0.786282,126.568286,103.785994,1,maker preferred,0.01,0.005,2332.68217,3071.912864,0.779159,0.871254,0.955198,0.803282,0.968839,1.0,0,0,0.01,1,0.777616,0.115423,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.7792; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.9552,passes all stress and execution checks,11.849974,13.5,14.5,celsius,12°C,5,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 12°C,0,,1,2.5,266.34587,162.983028,316.420715,259.464985
highest-temperature-in-karachi-on-may-5-2026|highest-temperature-in-karachi-on-may-5-2026-37c|BUY_NO,highest-temperature-in-karachi-on-may-5-2026,Highest temperature in Karachi on May 5?,Karachi,May 5,highest,highest-temperature-in-karachi-on-may-5-2026-37c,37°C,BUY_NO,0.033,0.765208,0.730612,21.118683,0.048,0.015,fair,spread penalty; thin liquidity,0.714923,14.217481,0.008,0.025,0.4475,1,0.747208,0.72572,93.401,41.796947,1,maker preferred,0.01,0.03,353.99991,6093.567904,0.682988,0.768209,0.823683,0.74372,0.873968,1.0,0,0,0.01,1,0.688225,0.047624,shift=-1.0C sigma=1.5C slip=0.010,worst shift=-1.0C sigma=1.5C slip=0.010 edge=0.6830; best shift=+1.0C sigma=2.5C slip=0.000 edge=0.8237,passes all stress and execution checks,37.704492,36.5,37.5,celsius,38°C or higher,2,2,few visible buckets,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 38°C or higher,0,,1,2.5,52.796708,35.543702,233.5025,104.492368
highest-temperature-in-san-francisco-on-may-7-2026|highest-temperature-in-san-francisco-on-may-7-2026-66forhigher|BUY_YES,highest-temperature-in-san-francisco-on-may-7-2026,Highest temperature in San Francisco on May 7?,San Francisco,May 7,highest,highest-temperature-in-san-francisco-on-may-7-2026-66forhigher,66°F or higher,BUY_YES,0.16,0.993166,0.826446,4.95709,0.17,0.01,fair,thin liquidity,0.816111,4.609364,0.155,0.005,0.4275,1,0.828166,0.694824,5.343006,2.284135,0,"maker viable, taker expected value is higher",0.01,0.01,226.5156,217.14,0.672444,0.77182,0.822079,0.859824,0.999134,1.0,0,0,0.01,1,0.667044,0.154002,shift=-1.0C sigma=2.5C slip=0.010,worst shift=-1.0C sigma=2.5C slip=0.010 edge=0.6724; best shift=+1.0C sigma=1.5C slip=0.000 edge=0.8221,passes all stress and execution checks,22.309932,65.5,,fahrenheit,66°F or higher,1,5,model top bucket,BUY_YES: our bucket probability is above market ask after fee; rank 1 of 5,0,,1,2.5,12.392725,11.52341,13.357515,5.710337
highest-temperature-in-taipei-on-may-5-2026|highest-temperature-in-taipei-on-may-5-2026-21c|BUY_NO,highest-temperature-in-taipei-on-may-5-2026,Highest temperature in Taipei on May 5?,Taipei,May 5,highest,highest-temperature-in-taipei-on-may-5-2026-21c,21°C,BUY_NO,0.072,0.857188,0.781848,10.377474,0.082,0.01,fair,thin liquidity,0.771424,8.994753,0.065,0.007,0.524,1,0.782188,0.688404,12.033662,6.305639,0,"maker viable, taker expected value is higher",0.01,0.012,180.2005,7186.794449,0.667227,0.774173,0.858087,0.763404,0.94385,1.0,0,0,0.01,1,0.665765,0.114621,shift=-1.0C sigma=1.5C slip=0.010,worst shift=-1.0C sigma=1.5C slip=0.010 edge=0.6672; best shift=+1.0C sigma=1.5C slip=0.000 edge=0.8581,passes all stress and execution checks,22.678648,20.5,21.5,celsius,23°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 23°C,0,,1,2.5,25.943685,22.486883,30.084155,15.764098
highest-temperature-in-houston-on-may-6-2026|highest-temperature-in-houston-on-may-6-2026-81forbelow|BUY_YES,highest-temperature-in-houston-on-may-6-2026,Highest temperature in Houston on May 6?,Houston,May 6,highest,highest-temperature-in-houston-on-may-6-2026-81forbelow,81°F or below,BUY_YES,0.1,0.789045,0.684545,6.55067,0.1,0.0,good,,0.684545,6.55067,0.085,0.015,0.6025,1,0.694045,0.437624,8.165235,4.919554,0,"maker viable, taker expected value is higher",0.01,0.02,1584.3042,1067.641058,0.417729,0.605122,0.824689,0.532624,0.929189,1.0,0,0,0.01,1,0.401048,0.266816,shift=+1.0C sigma=2.5C slip=0.010,worst shift=+1.0C sigma=2.5C slip=0.010 edge=0.4177; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.8247,passes all stress and execution checks,26.29533,,81.5,fahrenheit,81°F or below,1,5,model top bucket,BUY_YES: our bucket probability is above market ask after fee; rank 1 of 5,0,,1,2.5,16.376675,16.376675,20.413087,12.298885
highest-temperature-in-san-francisco-on-may-5-2026|highest-temperature-in-san-francisco-on-may-5-2026-62-63f|BUY_NO,highest-temperature-in-san-francisco-on-may-5-2026,Highest temperature in San Francisco on May 5?,San Francisco,May 5,highest,highest-temperature-in-san-francisco-on-may-5-2026-62-63f,62-63°F,BUY_NO,0.34,0.84895,0.49773,1.417146,0.35,0.01,fair,thin liquidity,0.487575,1.349222,0.335,0.005,0.5575,1,0.50395,0.398429,1.504328,0.838663,0,"maker viable, taker expected value is higher",0.01,0.01,357.9519,1917.118168,0.371909,0.487789,0.5805,0.743429,0.941875,1.0,0,0,0.01,1,0.369327,0.125821,shift=+1.0C sigma=1.5C slip=0.010,worst shift=+1.0C sigma=1.5C slip=0.010 edge=0.3719; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.5805,passes all stress and execution checks,15.47456,62.0,64.0,fahrenheit,58-59°F,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 58-59°F,0,,1,2.5,3.542865,3.373055,3.76082,2.096658
highest-temperature-in-jakarta-on-may-6-2026|highest-temperature-in-jakarta-on-may-6-2026-34c|BUY_NO,highest-temperature-in-jakarta-on-may-6-2026,Highest temperature in Jakarta on May 6?,Jakarta,May 6,highest,highest-temperature-in-jakarta-on-may-6-2026-34c,34°C,BUY_NO,0.55,0.964199,0.401824,0.714513,0.56,0.01,fair,spread penalty,0.391879,0.68472,0.515,0.035,0.51625,1,0.439199,0.356718,0.852814,0.440265,0,"maker viable, taker expected value is higher",0.01,0.04,1212.8442,510.652903,0.299463,0.35691,0.419854,0.881718,0.992174,1.0,0,0,0.01,1,0.299227,0.102361,shift=+1.0C sigma=2.0C slip=0.010,worst shift=+1.0C sigma=2.0C slip=0.010 edge=0.2995; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.4199,passes all stress and execution checks,30.954505,33.5,34.5,celsius,32°C,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 32°C,0,,1,2.5,1.786282,1.7118,2.132035,1.100663
highest-temperature-in-lagos-on-may-5-2026|highest-temperature-in-lagos-on-may-5-2026-34c|BUY_NO,highest-temperature-in-lagos-on-may-5-2026,Highest temperature in Lagos on May 5?,Lagos,May 5,highest,highest-temperature-in-lagos-on-may-5-2026-34c,34°C,BUY_NO,0.53,0.950293,0.407838,0.751837,0.545,0.015,fair,spread penalty; thin liquidity,0.392894,0.704871,0.505,0.025,0.4475,1,0.435293,0.35122,0.861966,0.38573,0,"maker viable, taker expected value is higher",0.01,0.03,339.406,1246.344661,0.298871,0.35994,0.430436,0.86622,0.987835,1.0,0,0,0.01,1,0.297974,0.108967,shift=+1.0C sigma=2.0C slip=0.010,worst shift=+1.0C sigma=2.0C slip=0.010 edge=0.2989; best shift=-1.0C sigma=1.5C slip=0.000 edge=0.4304,passes all stress and execution checks,31.217214,33.5,34.5,celsius,31°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 31°C,0,,1,2.5,1.879592,1.762177,2.154915,0.964325
