title,slug,city,location_name,target_date,target_extreme,target_unit,station_id,resolution_source_url,source_domain,description,target_day_of_year,target_day_of_year_sin,target_day_of_year_cos,target_month,target_is_weekend,target_is_max,station_latitude,station_longitude,station_elevation_m,station_country,station_id_hash,source_domain_hash,has_station_coordinates,forecast_provider,forecast_temp_max_c,forecast_temp_min_c,forecast_temp_mean_c,forecast_temp_spread_c,forecast_hourly_count,observation_provider,latest_observation_temp_c,latest_observation_dewpoint_c,latest_observation_pressure_hpa,latest_observation_wind_speed_mps,observation_age_hours,station_verified,station_verification_reason
Highest temperature in Hong Kong on May 5?,highest-temperature-in-hong-kong-on-may-5-2026,Hong Kong,Hong Kong Observatory,2026-05-05,max,celsius,HKO,https://www.weather.gov.hk/en/cis/climat.htm,weather.gov.hk,"This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 5 May '26.

The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm

This market can not resolve to ""Yes"" until data for this date has been finalized.

The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",125,0.8391377545563939,-0.5439189543287246,5,0,1,22.301944,114.174167,32.0,HK,8459,9590,1,open_meteo,21.9,19.0,20.7,2.8999999999999986,24,,,,,,,1,station verified
Highest temperature in Seoul on May 5?,highest-temperature-in-seoul-on-may-5-2026,Seoul,Incheon Intl,2026-05-05,max,celsius,RKSI,https://www.wunderground.com/history/daily/kr/incheon/RKSI,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Incheon Intl Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Incheon Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/kr/incheon/RKSI.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",125,0.8391377545563939,-0.5439189543287246,5,0,1,37.469,126.451,7.0,KR,0,3181,1,open_meteo,13.9,11.1,12.3,2.8000000000000007,24,,,,,,,1,station verified
Highest temperature in Shanghai on May 5?,highest-temperature-in-shanghai-on-may-5-2026,Shanghai,Shanghai Pudong International,2026-05-05,max,celsius,ZSPD,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Shanghai Pudong International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Shanghai Pudong International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/shanghai/ZSPD.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",125,0.8391377545563939,-0.5439189543287246,5,0,1,31.146,121.8,4.0,CN,4838,3181,1,open_meteo,23.9,15.4,19.1,8.499999999999998,24,,,,,,,1,station verified
Highest temperature in Beijing on May 5?,highest-temperature-in-beijing-on-may-5-2026,Beijing,Beijing Capital International,2026-05-05,max,celsius,ZBAA,https://www.wunderground.com/history/daily/cn/beijing/ZBAA,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Beijing Capital International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Beijing Capital International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/beijing/ZBAA.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",125,0.8391377545563939,-0.5439189543287246,5,0,1,40.082,116.603,31.0,CN,2399,3181,1,open_meteo,29.1,12.6,21.3,16.5,24,,,,,,,1,station verified
Highest temperature in Tokyo on May 5?,highest-temperature-in-tokyo-on-may-5-2026,Tokyo,Tokyo Haneda,2026-05-05,max,celsius,RJTT,https://www.wunderground.com/history/daily/jp/tokyo/RJTT,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Tokyo Haneda Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Tokyo Haneda Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/jp/tokyo/RJTT.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",125,0.8391377545563939,-0.5439189543287246,5,0,1,35.553,139.781,5.0,JP,7278,3181,1,open_meteo,20.4,12.6,16.6,7.799999999999999,24,,,,,,,1,station verified
Highest temperature in San Francisco on May 4?,highest-temperature-in-san-francisco-on-may-4-2026,San Francisco,San Francisco International,2026-05-04,max,fahrenheit,KSFO,https://www.wunderground.com/history/daily/us/ca/san-francisco/KSFO,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the San Francisco International Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the San Francisco International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/ca/san-francisco/KSFO.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Fahrenheit (eg, 21°F). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",124,0.848351197812304,-0.5294338912181853,5,0,1,37.61961,-122.36561,2.0,US,5758,3181,1,open_meteo,16.8,9.4,13.2,7.4,24,,,,,,,1,station verified
Highest temperature in Paris on May 5?,highest-temperature-in-paris-on-may-5-2026,Paris,Paris-Le Bourget,2026-05-05,max,celsius,LFPB,https://www.wunderground.com/history/daily/fr/bonneuil-en-france/LFPB,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Paris-Le Bourget Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Paris-Le Bourget Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/fr/bonneuil-en-france/LFPB.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",125,0.8391377545563939,-0.5439189543287246,5,0,1,48.967,2.428,50.0,FR,8545,3181,1,open_meteo,14.4,12.7,13.5,1.700000000000001,24,,,,,,,1,station verified
Highest temperature in London on May 5?,highest-temperature-in-london-on-may-5-2026,London,London City,2026-05-05,max,celsius,EGLC,https://www.wunderground.com/history/daily/gb/london/EGLC,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the London City Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the London City Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/gb/london/EGLC.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",125,0.8391377545563939,-0.5439189543287246,5,0,1,51.505,0.055,10.0,GB,7897,3181,1,open_meteo,16.9,11.0,13.4,5.899999999999999,24,,,,,,,1,station verified
Highest temperature in Los Angeles on May 4?,highest-temperature-in-los-angeles-on-may-4-2026,Los Angeles,Los Angeles International,2026-05-04,max,fahrenheit,KLAX,https://www.wunderground.com/history/daily/us/ca/los-angeles/KLAX,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Los Angeles International Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Los Angeles International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/ca/los-angeles/KLAX.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Fahrenheit (eg, 21°F). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",124,0.848351197812304,-0.5294338912181853,5,0,1,33.93817,-118.3866,30.0,US,1534,3181,1,open_meteo,19.9,12.6,16.0,7.299999999999999,24,,,,,,,1,station verified
Highest temperature in Singapore on May 5?,highest-temperature-in-singapore-on-may-5-2026,Singapore,Singapore Changi,2026-05-05,max,celsius,WSSS,https://www.wunderground.com/history/daily/sg/singapore/WSSS,wunderground.com,"This market will resolve to the temperature range that contains the highest temperature recorded at the Singapore Changi Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Singapore Changi Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/sg/singapore/WSSS.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",125,0.8391377545563939,-0.5439189543287246,5,0,1,1.368,103.982,17.0,SG,9398,3181,1,open_meteo,30.4,25.4,27.6,5.0,24,,,,,,,1,station verified
