candidate_id,event_slug,event_title,market_city,market_date,market_extreme,market_slug,group_item_title,side,price,base_fair_probability,base_edge,base_expected_roi,execution_price,execution_slippage,execution_fillable,execution_fill_ratio,execution_book_price,execution_book_levels_used,execution_book_available_usdc,execution_token_id,execution_quality,execution_flags,execution_base_edge,execution_expected_roi,maker_quote_price,maker_price_improvement,maker_fill_score,maker_eligible,maker_edge_if_filled,maker_worst_edge,maker_expected_roi_if_filled,maker_fill_adjusted_expected_roi,maker_preferred,maker_reason,maker_adverse_selection_penalty,quote_spread,quote_liquidity,quote_market_volume,worst_edge,mean_edge,best_edge,min_stress_fair_probability,max_stress_fair_probability,stress_pass_rate,negative_scenarios,failed_scenarios,robust_min_edge,robust_pass,robust_score,sensitivity_to_stress,worst_scenario,stress_summary,robust_reason,prediction_c,interval_lower,interval_upper,interval_unit,visible_top_bucket,visible_bucket_rank,visible_bucket_count,risk_flags,decision_reason,market_has_ended,suggested_max_stake_usdc,planned_stake_usdc,selected,stake_usdc,base_expected_pnl_usdc,execution_expected_pnl_usdc
highest-temperature-in-shanghai-on-may-6-2026|highest-temperature-in-shanghai-on-may-6-2026-25c|BUY_NO,highest-temperature-in-shanghai-on-may-6-2026,Highest temperature in Shanghai on May 6?,Shanghai,May 6,highest,highest-temperature-in-shanghai-on-may-6-2026-25c,25°C,BUY_NO,0.66,0.939416,0.268196,0.399565,0.74,0.08,1,1.0,0.74,1,1443.9855,56928781137638857902624020187635540390605705374161773327861815726344352511852,poor,spread penalty; depth slippage,0.189796,0.25319,0.635,0.025,0.585,1,0.284416,0.144587,0.447899,0.262021,1,maker preferred,0.02,0.03,2246.8963,1433.771764,0.030467,0.149358,0.243409,0.799587,0.993029,0.814815,0,5,0.08,0,0.014842,0.237729,shift=+1.5C sigma=1.5C slip=0.020,worst shift=+1.5C sigma=1.5C slip=0.020 edge=0.0305; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.2434,execution slippage above 0.010: 0.080,22.388398,24.5,25.5,celsius,23°C,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 23°C,0,0.5,0.5,0,,,
highest-temperature-in-shanghai-on-may-6-2026|highest-temperature-in-shanghai-on-may-6-2026-24c|BUY_NO,highest-temperature-in-shanghai-on-may-6-2026,Highest temperature in Shanghai on May 6?,Shanghai,May 6,highest,highest-temperature-in-shanghai-on-may-6-2026-24c,24°C,BUY_NO,0.74,0.850279,0.100659,0.13428,0.84,0.1,1,1.0,0.92,1,1055.2382,79122132777235254632584175204663013389098228210696019547049327320050957680330,poor,depth slippage,0.003559,0.004203,0.735,0.005,0.695,0,0.095279,-0.015422,0.129631,0.090094,0,maker worst stress edge not positive,0.02,0.01,2305.0605,2341.246018,-0.126442,0.011791,0.12047,0.739578,0.96719,0.185185,12,22,0.08,0,-0.1473,0.227101,shift=+1.5C sigma=1.5C slip=0.020,worst shift=+1.5C sigma=1.5C slip=0.020 edge=-0.1264; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.1205,execution slippage above 0.010: 0.100,22.388398,23.5,24.5,celsius,23°C,2,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 23°C,0,0.5,0.5,0,,,
highest-temperature-in-shanghai-on-may-6-2026|highest-temperature-in-shanghai-on-may-6-2026-23c|BUY_YES,highest-temperature-in-shanghai-on-may-6-2026,Highest temperature in Shanghai on May 6?,Shanghai,May 6,highest,highest-temperature-in-shanghai-on-may-6-2026-23c,23°C,BUY_YES,0.15,0.241019,0.084644,0.541289,0.15,0.0,1,1.0,0.05,1,8855.0576,55463760315079657358827164808082754285518718619377173124957770407871055650298,good,,0.084644,0.541289,0.135,0.015,0.6025,0,0.086019,-0.054514,0.637178,0.3839,0,maker worst stress edge not positive,0.02,0.02,2437.839,2027.475648,-0.076569,-0.007851,0.084644,0.100486,0.241019,0.037037,15,26,0.08,0,-0.09232,0.161213,shift=-1.5C sigma=1.5C slip=0.020,worst shift=-1.5C sigma=1.5C slip=0.020 edge=-0.0766; best shift=+0.0C sigma=1.5C slip=0.000 edge=0.0846,negative edge under shift=-1.5C sigma=1.5C slip=0.020,22.388398,22.5,23.5,celsius,23°C,1,5,model top bucket,BUY_YES: our bucket probability is above market ask after fee; rank 1 of 5,0,0.42,0.42,0,,,
highest-temperature-in-wellington-on-may-6-2026|highest-temperature-in-wellington-on-may-6-2026-15c|BUY_YES,highest-temperature-in-wellington-on-may-6-2026,Highest temperature in Wellington on May 6?,Wellington,May 6,highest,highest-temperature-in-wellington-on-may-6-2026-15c,15°C,BUY_YES,0.023,0.195327,0.171203,7.096943,0.023,0.0,1,1.0,0.013225,2,10405.85938,56194031247832400217866835654184580358392188370353686413745947241906145285607,good,,0.171203,7.096943,0.016,0.007,0.6615,1,0.159327,0.021077,9.957937,6.587176,0,"maker viable, taker expected value is higher",0.02,0.012,2140.34048,1549.067772,0.012019,0.111848,0.23077,0.057077,0.254894,0.666667,0,9,0.08,0,0.002768,0.159184,shift=+1.5C sigma=1.5C slip=0.020,worst shift=+1.5C sigma=1.5C slip=0.020 edge=0.0120; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.2308,edge below 0.080 under shift=+1.5C sigma=1.5C slip=0.020,16.164342,14.5,15.5,celsius,16°C,3,5,,BUY_YES: our bucket probability is above market ask after fee; rank 3 of 5,0,0.5,0.5,0,,,
highest-temperature-in-tokyo-on-may-6-2026|highest-temperature-in-tokyo-on-may-6-2026-20c|BUY_YES,highest-temperature-in-tokyo-on-may-6-2026,Highest temperature in Tokyo on May 6?,Tokyo,May 6,highest,highest-temperature-in-tokyo-on-may-6-2026-20c,20°C,BUY_YES,0.11,0.260442,0.145547,1.266783,0.11,0.0,1,1.0,0.036,1,10562.71159,25913608326431412000405048118987373248806495692152184009634347984129833781008,good,,0.145547,1.266783,0.105,0.005,0.695,0,0.135442,-0.003219,1.289924,0.896497,0,maker worst stress edge not positive,0.02,0.01,2300.9392,2729.24844,-0.013874,0.038362,0.145547,0.121781,0.260442,0.148148,3,23,0.08,0,-0.028335,0.159421,shift=-1.5C sigma=2.8C slip=0.020,worst shift=-1.5C sigma=2.8C slip=0.020 edge=-0.0139; best shift=+0.0C sigma=1.5C slip=0.000 edge=0.1455,negative edge under shift=-1.5C sigma=2.8C slip=0.020,19.890007,19.5,20.5,celsius,20°C,1,5,model top bucket,BUY_YES: our bucket probability is above market ask after fee; rank 1 of 5,0,0.5,0.5,0,,,
highest-temperature-in-london-on-may-6-2026|highest-temperature-in-london-on-may-6-2026-12c|BUY_YES,highest-temperature-in-london-on-may-6-2026,Highest temperature in London on May 6?,London,May 6,highest,highest-temperature-in-london-on-may-6-2026-12c,12°C,BUY_YES,0.07,0.168978,0.095723,1.306709,0.07,0.0,1,1.0,0.05,1,16567.707,80199571423883817961936484247927125027010330512472435110915473997180173923279,good,,0.095723,1.306709,0.055,0.015,0.6025,0,0.093978,-0.033262,1.708691,1.029486,0,maker worst stress edge not positive,0.02,0.02,3477.1968,3080.69456,-0.052357,0.05465,0.187553,0.041738,0.260808,0.333333,8,18,0.08,0,-0.063831,0.14808,shift=+1.5C sigma=1.5C slip=0.020,worst shift=+1.5C sigma=1.5C slip=0.020 edge=-0.0524; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.1876,negative edge under shift=+1.5C sigma=1.5C slip=0.020,13.425599,11.5,12.5,celsius,13°C,3,5,,BUY_YES: our bucket probability is above market ask after fee; rank 3 of 5,0,0.48,0.48,0,,,
highest-temperature-in-hong-kong-on-may-6-2026|highest-temperature-in-hong-kong-on-may-6-2026-28c|BUY_NO,highest-temperature-in-hong-kong-on-may-6-2026,Highest temperature in Hong Kong on May 6?,Hong Kong,May 6,highest,highest-temperature-in-hong-kong-on-may-6-2026-28c,28°C,BUY_NO,0.8,0.907503,0.099503,0.123147,0.8,0.0,1,1.0,0.8,1,1486.3682,6909411379026114113500473759218582925127132372954927306762058841292377984310,good,,0.099503,0.123147,0.785,0.015,0.5325,0,0.102503,-0.040021,0.130577,0.069532,0,maker fill score below 0.55,0.02,0.02,1647.9472,875.789789,-0.062401,0.073759,0.178134,0.764979,0.986134,0.518519,5,13,0.08,0,-0.073406,0.161904,shift=+1.5C sigma=1.5C slip=0.020,worst shift=+1.5C sigma=1.5C slip=0.020 edge=-0.0624; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.1781,negative edge under shift=+1.5C sigma=1.5C slip=0.020,25.79874,27.5,28.5,celsius,26°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 26°C,0,0.5,0.5,0,,,
highest-temperature-in-hong-kong-on-may-6-2026|highest-temperature-in-hong-kong-on-may-6-2026-25c|BUY_YES,highest-temperature-in-hong-kong-on-may-6-2026,Highest temperature in Hong Kong on May 6?,Hong Kong,May 6,highest,highest-temperature-in-hong-kong-on-may-6-2026-25c,25°C,BUY_YES,0.056,0.227776,0.169133,2.884099,0.056,0.0,1,1.0,0.044,1,10865.40459,65885182256464323387924003229854234619260954146221741098297412674435655589975,good,,0.169133,2.884099,0.055,0.001,0.452,0,0.152776,0.0092,2.777745,1.255541,0,maker fill score below 0.55,0.02,0.001,3368.72105,2859.142171,0.004689,0.086371,0.176377,0.0842,0.235021,0.481481,0,14,0.08,0,-0.006941,0.164444,shift=+1.5C sigma=1.5C slip=0.020,worst shift=+1.5C sigma=1.5C slip=0.020 edge=0.0047; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.1764,edge below 0.080 under shift=+1.5C sigma=1.5C slip=0.020,25.79874,24.5,25.5,celsius,26°C,2,5,,BUY_YES: our bucket probability is above market ask after fee; rank 2 of 5,0,0.5,0.5,0,,,
highest-temperature-in-austin-on-may-6-2026|highest-temperature-in-austin-on-may-6-2026-82-83f|BUY_YES,highest-temperature-in-austin-on-may-6-2026,Highest temperature in Austin on May 6?,Austin,May 6,highest,highest-temperature-in-austin-on-may-6-2026-82-83f,82-83°F,BUY_YES,0.1,0.197523,0.093023,0.890172,0.2,0.1,1,1.0,0.2,1,15997.5289,22436669310881465227881647334282811270479217892164992717515227955688380361377,poor,depth slippage,-0.010477,-0.05037,0.085,0.015,0.6025,0,0.092523,-0.052805,1.088506,0.655825,0,maker worst stress edge not positive,0.02,0.02,1472.9227,1064.982427,-0.176385,-0.061625,0.079295,0.052195,0.287295,0.0,23,27,0.08,0,-0.203326,0.269408,shift=+1.5C sigma=1.5C slip=0.020,worst shift=+1.5C sigma=1.5C slip=0.020 edge=-0.1764; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.0793,execution slippage above 0.010: 0.100,29.671627,82.0,84.0,fahrenheit,84-85°F,3,5,,BUY_YES: our bucket probability is above market ask after fee; rank 3 of 5,0,0.47,0.47,0,,,
highest-temperature-in-wellington-on-may-7-2026|highest-temperature-in-wellington-on-may-7-2026-19c|BUY_NO,highest-temperature-in-wellington-on-may-7-2026,Highest temperature in Wellington on May 7?,Wellington,May 7,highest,highest-temperature-in-wellington-on-may-7-2026-19c,19°C,BUY_NO,0.7,0.880252,0.169752,0.238919,0.75,0.05,1,1.0,0.75,1,830.1126,74059740639282461589140450236705717018471563990186948984752224947227951968232,poor,moderate liquidity; depth slippage,0.120877,0.15918,0.685,0.015,0.41,0,0.175252,0.043022,0.255842,0.104895,0,maker fill score below 0.55,0.02,0.02,907.6306,138.5,-0.030833,0.110347,0.218941,0.748022,0.978316,0.740741,3,7,0.08,0,-0.043484,0.200585,shift=+1.5C sigma=1.5C slip=0.020,worst shift=+1.5C sigma=1.5C slip=0.020 edge=-0.0308; best shift=-1.5C sigma=1.5C slip=0.000 edge=0.2189,execution slippage above 0.010: 0.050,17.092075,18.5,19.5,celsius,17°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 17°C,0,0.5,0.5,0,,,
