candidate_id,event_slug,event_title,market_city,market_date,market_extreme,market_slug,group_item_title,side,price,base_fair_probability,base_edge,base_expected_roi,execution_price,execution_slippage,execution_fillable,execution_fill_ratio,execution_book_price,execution_book_levels_used,execution_book_available_usdc,execution_token_id,execution_quality,execution_flags,execution_base_edge,execution_expected_roi,maker_quote_price,maker_price_improvement,maker_fill_score,maker_eligible,maker_edge_if_filled,maker_worst_edge,maker_expected_roi_if_filled,maker_fill_adjusted_expected_roi,maker_preferred,maker_reason,maker_adverse_selection_penalty,quote_spread,quote_liquidity,quote_market_volume,worst_edge,mean_edge,best_edge,min_stress_fair_probability,max_stress_fair_probability,stress_pass_rate,negative_scenarios,failed_scenarios,robust_min_edge,robust_pass,robust_score,sensitivity_to_stress,worst_scenario,stress_summary,robust_reason,prediction_c,interval_lower,interval_upper,interval_unit,visible_top_bucket,visible_bucket_rank,visible_bucket_count,risk_flags,decision_reason,market_has_ended,suggested_max_stake_usdc,planned_stake_usdc,selected,stake_usdc,base_expected_pnl_usdc,execution_expected_pnl_usdc
highest-temperature-in-seoul-on-may-11-2026|highest-temperature-in-seoul-on-may-11-2026-19c|BUY_NO,highest-temperature-in-seoul-on-may-11-2026,Highest temperature in Seoul on May 11?,Seoul,May 11,highest,highest-temperature-in-seoul-on-may-11-2026-19c,19°C,BUY_NO,0.71,0.848806,0.128511,0.178414,0.71,0.0,1,1.0,0.68,1,2139.0608,62658110022857550489175927416890337925891377489976246933536006906049761596422,good,,0.128511,0.178414,0.695,0.015,0.6025,1,0.133806,0.133806,0.192527,0.115997,0,"maker viable, taker expected value is higher",0.02,0.02,1712.0662,3434.661562,0.108951,0.157054,0.196554,0.848806,0.916849,1.0,0,0,0.1,1,0.116995,0.01956,shift=+0.0C sigma=2.5C slip=0.020,worst shift=+0.0C sigma=2.5C slip=0.020 edge=0.1090; best shift=+2.0C sigma=3.5C slip=0.000 edge=0.1966,passes all stress and execution checks,19.774205,18.5,19.5,celsius,22°C or higher,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 22°C or higher,0,0.5,0.25,1,,,
highest-temperature-in-seoul-on-may-11-2026|highest-temperature-in-seoul-on-may-11-2026-20c|BUY_NO,highest-temperature-in-seoul-on-may-11-2026,Highest temperature in Seoul on May 11?,Seoul,May 11,highest,highest-temperature-in-seoul-on-may-11-2026-20c,20°C,BUY_NO,0.72,0.842117,0.112037,0.153459,0.72,0.0,1,1.0,0.7,1,2803.2853,95487384124583671485737627815687494511369499234269224734060138370373552553007,good,,0.112037,0.153459,0.715,0.005,0.695,1,0.107117,0.107117,0.149814,0.104121,0,"maker viable, taker expected value is higher",0.02,0.01,2111.2926,3906.704931,0.092497,0.144693,0.176993,0.842117,0.907073,0.962963,0,1,0.1,0,0.100173,0.01954,shift=+0.0C sigma=2.5C slip=0.020,worst shift=+0.0C sigma=2.5C slip=0.020 edge=0.0925; best shift=-2.0C sigma=3.5C slip=0.000 edge=0.1770,edge below 0.100 under shift=+0.0C sigma=2.5C slip=0.020,19.774205,19.5,20.5,celsius,22°C or higher,2,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 22°C or higher,0,0.5,0.25,0,,,
highest-temperature-in-beijing-on-may-11-2026|highest-temperature-in-beijing-on-may-11-2026-32c|BUY_NO,highest-temperature-in-beijing-on-may-11-2026,Highest temperature in Beijing on May 11?,Beijing,May 11,highest,highest-temperature-in-beijing-on-may-11-2026-32c,32°C,BUY_NO,0.71,0.892814,0.172519,0.239512,0.72,0.01,1,1.0,0.7,1,971.2081,18168790625761969617260837105515319418325110089604548894480319585510822712516,fair,spread penalty; moderate liquidity,0.162734,0.222899,0.685,0.025,0.5225,0,0.187814,0.137121,0.274181,0.14326,0,maker fill score below 0.55,0.02,0.03,847.5727,2594.522926,0.092501,0.165996,0.231224,0.842121,0.961304,0.962963,0,1,0.1,0,0.094129,0.080018,shift=+2.0C sigma=2.5C slip=0.020,worst shift=+2.0C sigma=2.5C slip=0.020 edge=0.0925; best shift=-2.0C sigma=2.5C slip=0.000 edge=0.2312,edge below 0.100 under shift=+2.0C sigma=2.5C slip=0.020,29.773555,31.5,32.5,celsius,30°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 30°C,0,0.5,0.25,0,,,
highest-temperature-in-hong-kong-on-may-11-2026|highest-temperature-in-hong-kong-on-may-11-2026-29c|BUY_NO,highest-temperature-in-hong-kong-on-may-11-2026,Highest temperature in Hong Kong on May 11?,Hong Kong,May 11,highest,highest-temperature-in-hong-kong-on-may-11-2026-29c,29°C,BUY_NO,0.72,0.908481,0.178401,0.244358,0.72,0.0,1,1.0,0.72,1,2054.0414,16835188879892074897060647384837218380300716774648023143459287553000280808062,good,,0.178401,0.244358,0.715,0.005,0.695,1,0.173481,0.111492,0.242631,0.168628,0,"maker viable, taker expected value is higher",0.02,0.01,1045.9245,2407.758663,0.096872,0.173577,0.240907,0.846492,0.970987,0.962963,0,1,0.1,0,0.098349,0.081529,shift=+2.0C sigma=2.5C slip=0.020,worst shift=+2.0C sigma=2.5C slip=0.020 edge=0.0969; best shift=-2.0C sigma=2.5C slip=0.000 edge=0.2409,edge below 0.100 under shift=+2.0C sigma=2.5C slip=0.020,26.36205,28.5,29.5,celsius,26°C,5,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 26°C,0,0.5,0.25,0,,,
highest-temperature-in-chicago-on-may-11-2026|highest-temperature-in-chicago-on-may-11-2026-58-59f|BUY_NO,highest-temperature-in-chicago-on-may-11-2026,Highest temperature in Chicago on May 11?,Chicago,May 11,highest,highest-temperature-in-chicago-on-may-11-2026-58-59f,58-59°F,BUY_NO,0.77,0.93091,0.152055,0.195229,0.78,0.01,1,1.0,0.78,1,1307.2588,31738590931436039358240092243658375691922423871853667670013099699029479726495,fair,spread penalty; depth slippage,0.14233,0.180489,0.745,0.025,0.585,1,0.16591,0.085807,0.222698,0.130278,0,"maker viable, taker expected value is higher",0.02,0.03,1549.3128,1444.904993,0.042807,0.123537,0.194375,0.850807,0.982955,0.666667,0,9,0.1,0,0.038548,0.109248,shift=+2.0C sigma=2.5C slip=0.020,worst shift=+2.0C sigma=2.5C slip=0.020 edge=0.0428; best shift=-2.0C sigma=2.5C slip=0.000 edge=0.1944,edge below 0.100 under shift=+2.0C sigma=2.5C slip=0.020,11.55444,58.0,60.0,fahrenheit,52-53°F,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 52-53°F,0,0.5,0.25,0,,,
highest-temperature-in-chicago-on-may-11-2026|highest-temperature-in-chicago-on-may-11-2026-60-61f|BUY_NO,highest-temperature-in-chicago-on-may-11-2026,Highest temperature in Chicago on May 11?,Chicago,May 11,highest,highest-temperature-in-chicago-on-may-11-2026-60-61f,60-61°F,BUY_NO,0.9,0.965683,0.061183,0.067643,0.905,0.005,1,1.0,0.9,1,919.1745,85698241608073951387336135714090939870385098255095371029968966704874708112763,fair,spread penalty,0.056384,0.062008,0.875,0.025,0.515,0,0.070683,-0.00014,0.080781,0.041602,0,maker fill score below 0.55,0.02,0.03,1291.8337,630.339893,-0.033609,0.027536,0.084735,0.89486,0.994034,0.0,9,27,0.1,0,-0.043088,0.094792,shift=+2.0C sigma=2.5C slip=0.020,worst shift=+2.0C sigma=2.5C slip=0.020 edge=-0.0336; best shift=-2.0C sigma=2.5C slip=0.000 edge=0.0847,negative edge under shift=+2.0C sigma=2.5C slip=0.020,11.55444,60.0,62.0,fahrenheit,52-53°F,5,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 52-53°F,0,0.31,0.25,0,,,
highest-temperature-in-munich-on-may-11-2026|highest-temperature-in-munich-on-may-11-2026-17c|BUY_NO,highest-temperature-in-munich-on-may-11-2026,Highest temperature in Munich on May 11?,Munich,May 11,highest,highest-temperature-in-munich-on-may-11-2026-17c,17°C,BUY_NO,0.71,0.842396,0.122101,0.169515,0.715,0.005,1,1.0,0.71,1,1228.7587,114993906027335224964015062426017406614175974497161234653718031291078401636705,fair,spread penalty,0.117207,0.161623,0.685,0.025,0.585,1,0.137396,0.137396,0.200578,0.117338,0,"maker viable, taker expected value is higher",0.02,0.03,1019.6577,2735.412708,0.097657,0.149686,0.182645,0.842396,0.907833,0.962963,0,1,0.1,0,0.104843,0.024444,shift=+0.0C sigma=2.5C slip=0.020,worst shift=+0.0C sigma=2.5C slip=0.020 edge=0.0977; best shift=+2.0C sigma=3.5C slip=0.000 edge=0.1826,edge below 0.100 under shift=+0.0C sigma=2.5C slip=0.020,17.270889,16.5,17.5,celsius,19°C or higher,2,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 19°C or higher,0,0.5,0.25,0,,,
highest-temperature-in-tokyo-on-may-11-2026|highest-temperature-in-tokyo-on-may-11-2026-24c|BUY_NO,highest-temperature-in-tokyo-on-may-11-2026,Highest temperature in Tokyo on May 11?,Tokyo,May 11,highest,highest-temperature-in-tokyo-on-may-11-2026-24c,24°C,BUY_NO,0.7,0.928603,0.218103,0.306971,0.71,0.01,1,1.0,0.7,1,1138.3191,92704752856180110499604980913513807007719152314049360784286916259254314691481,fair,spread penalty; moderate liquidity,0.208308,0.289198,0.675,0.025,0.5225,0,0.233603,0.162946,0.346079,0.180826,0,maker fill score below 0.55,0.02,0.03,561.7515,2402.954858,0.118091,0.194102,0.260624,0.857946,0.980919,1.0,0,0,0.1,1,0.11809,0.100012,shift=+2.0C sigma=2.5C slip=0.020,worst shift=+2.0C sigma=2.5C slip=0.020 edge=0.1181; best shift=-2.0C sigma=2.5C slip=0.000 edge=0.2606,passes all stress and execution checks,20.821319,23.5,24.5,celsius,21°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 21°C,0,0.5,0.25,1,,,
highest-temperature-in-los-angeles-on-may-12-2026|highest-temperature-in-los-angeles-on-may-12-2026-68-69f|BUY_NO,highest-temperature-in-los-angeles-on-may-12-2026,Highest temperature in Los Angeles on May 12?,Los Angeles,May 12,highest,highest-temperature-in-los-angeles-on-may-12-2026-68-69f,68-69°F,BUY_NO,0.7,0.840363,0.129863,0.182777,0.7,0.0,1,1.0,0.7,1,882.2841,45576770776123472144826502495343816609683975863207542442854300269391522789746,good,,0.129863,0.182777,0.685,0.015,0.4725,0,0.135363,0.129791,0.19761,0.093371,0,maker fill score below 0.55,0.02,0.02,1036.4851,157.58072,0.104711,0.157618,0.207311,0.834791,0.917811,1.0,0,0,0.1,1,0.112196,0.025152,shift=-2.0C sigma=2.5C slip=0.020,worst shift=-2.0C sigma=2.5C slip=0.020 edge=0.1047; best shift=+2.0C sigma=2.5C slip=0.000 edge=0.2073,passes all stress and execution checks,21.664558,68.0,70.0,fahrenheit,70°F or higher,2,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 70°F or higher,0,0.5,0.25,1,,,
highest-temperature-in-los-angeles-on-may-12-2026|highest-temperature-in-los-angeles-on-may-12-2026-66-67f|BUY_NO,highest-temperature-in-los-angeles-on-may-12-2026,Highest temperature in Los Angeles on May 12?,Los Angeles,May 12,highest,highest-temperature-in-los-angeles-on-may-12-2026-66-67f,66-67°F,BUY_NO,0.71,0.88068,0.160385,0.222666,0.71,0.0,1,1.0,0.7,1,655.747,58242743705874547375886435591338958491072426385081741321291864397142883638412,good,,0.160385,0.222666,0.695,0.015,0.5325,0,0.16568,0.10981,0.238388,0.126942,0,maker fill score below 0.55,0.02,0.02,1554.5343,970.040806,0.084955,0.165238,0.236406,0.82481,0.956701,0.925926,0,2,0.1,0,0.086671,0.07543,shift=-2.0C sigma=2.5C slip=0.020,worst shift=-2.0C sigma=2.5C slip=0.020 edge=0.0850; best shift=+2.0C sigma=2.5C slip=0.000 edge=0.2364,edge below 0.100 under shift=-2.0C sigma=2.5C slip=0.020,21.664558,66.0,68.0,fahrenheit,70°F or higher,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 70°F or higher,0,0.5,0.25,0,,,
