candidate_id,event_slug,event_title,market_city,market_date,market_extreme,market_slug,group_item_title,side,price,base_fair_probability,base_edge,base_expected_roi,execution_price,execution_slippage,execution_fillable,execution_fill_ratio,execution_book_price,execution_book_levels_used,execution_book_available_usdc,execution_token_id,execution_quality,execution_flags,execution_base_edge,execution_expected_roi,maker_quote_price,maker_price_improvement,maker_fill_score,maker_eligible,maker_edge_if_filled,maker_worst_edge,maker_expected_roi_if_filled,maker_fill_adjusted_expected_roi,maker_preferred,maker_reason,maker_adverse_selection_penalty,quote_spread,quote_liquidity,quote_market_volume,worst_edge,mean_edge,best_edge,min_stress_fair_probability,max_stress_fair_probability,stress_pass_rate,negative_scenarios,failed_scenarios,robust_min_edge,robust_pass,robust_score,sensitivity_to_stress,worst_scenario,stress_summary,robust_reason,prediction_c,interval_lower,interval_upper,interval_unit,visible_top_bucket,visible_bucket_rank,visible_bucket_count,risk_flags,decision_reason,market_has_ended,suggested_max_stake_usdc,planned_stake_usdc,selected,stake_usdc,base_expected_pnl_usdc,execution_expected_pnl_usdc,maker_expected_pnl_if_filled_usdc,maker_fill_adjusted_expected_pnl_usdc
highest-temperature-in-miami-on-may-11-2026|highest-temperature-in-miami-on-may-11-2026-90-91f|BUY_NO,highest-temperature-in-miami-on-may-11-2026,Highest temperature in Miami on May 11?,Miami,May 11,highest,highest-temperature-in-miami-on-may-11-2026-90-91f,90-91°F,BUY_NO,0.59,0.912886,0.310791,0.516183,0.59,0.0,1,1.0,0.59,1,1056.8351,36546815206580066018168647392153308838557249318417336644956574483552266028522,good,,0.310791,0.516183,0.575,0.015,0.6025,1,0.317886,0.242136,0.552845,0.333089,0,"maker viable, taker expected value is higher",0.02,0.02,1521.0436,1622.065555,0.215241,0.299482,0.37308,0.837136,0.975175,1.0,0,0,0.1,1,0.215686,0.09555,shift=+2.0C sigma=2.5C slip=0.020,worst shift=+2.0C sigma=2.5C slip=0.020 edge=0.2152; best shift=-2.0C sigma=2.5C slip=0.000 edge=0.3731,passes all stress and execution checks,29.790069,90.0,92.0,fahrenheit,84-85°F,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 84-85°F,0,0.5,0.25,1,0.25,0.129046,0.129046,0.138211,0.083272
highest-temperature-in-helsinki-on-may-11-2026|highest-temperature-in-helsinki-on-may-11-2026-15c|BUY_NO,highest-temperature-in-helsinki-on-may-11-2026,Highest temperature in Helsinki on May 11?,Helsinki,May 11,highest,highest-temperature-in-helsinki-on-may-11-2026-15c,15°C,BUY_NO,0.62,0.842806,0.211026,0.334018,0.625,0.005,1,1.0,0.62,1,545.6093,24506904921310454082625499109967882446337657707026475298323278267742151571048,fair,moderate liquidity,0.206087,0.323671,0.615,0.005,0.5625,1,0.207806,0.207806,0.337896,0.190066,0,"maker viable, taker expected value is higher",0.02,0.01,692.2072,679.601452,0.186357,0.238223,0.272059,0.842806,0.908778,1.0,0,0,0.1,1,0.193891,0.024669,shift=+0.0C sigma=2.5C slip=0.020,worst shift=+0.0C sigma=2.5C slip=0.020 edge=0.1864; best shift=-2.0C sigma=3.5C slip=0.000 edge=0.2721,passes all stress and execution checks,14.673835,14.5,15.5,celsius,17°C or higher,2,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 17°C or higher,0,0.5,0.25,1,0.25,0.083504,0.080918,0.084474,0.047517
highest-temperature-in-sao-paulo-on-may-12-2026|highest-temperature-in-sao-paulo-on-may-12-2026-22c|BUY_NO,highest-temperature-in-sao-paulo-on-may-12-2026,Highest temperature in Sao Paulo on May 12?,Sao Paulo,May 12,highest,highest-temperature-in-sao-paulo-on-may-12-2026-22c,22°C,BUY_NO,0.63,0.892397,0.250742,0.390774,0.64,0.01,1,1.0,0.64,1,842.1414,91414139334604727869457909999955950203592966675555042969738235780880875962159,fair,depth slippage,0.240877,0.369715,0.615,0.015,0.5325,0,0.257397,0.20706,0.418532,0.222868,0,maker fill score below 0.55,0.02,0.02,1005.9726,357.792558,0.17084,0.244282,0.309498,0.84206,0.961018,1.0,0,0,0.1,1,0.17285,0.079902,shift=+2.0C sigma=2.5C slip=0.020,worst shift=+2.0C sigma=2.5C slip=0.020 edge=0.1708; best shift=-2.0C sigma=2.5C slip=0.000 edge=0.3095,passes all stress and execution checks,19.784623,21.5,22.5,celsius,20°C,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 20°C,0,0.5,0.25,1,0.25,0.097694,0.092429,0.104633,0.055717
highest-temperature-in-san-francisco-on-may-12-2026|highest-temperature-in-san-francisco-on-may-12-2026-64-65f|BUY_NO,highest-temperature-in-san-francisco-on-may-12-2026,Highest temperature in San Francisco on May 12?,San Francisco,May 12,highest,highest-temperature-in-san-francisco-on-may-12-2026-64-65f,64-65°F,BUY_NO,0.76,0.998437,0.229317,0.298155,0.77,0.01,1,1.0,0.77,1,1004.4862,102797572149951540217326794716770443068657270817955892665318339575594407953422,fair,moderate liquidity; depth slippage,0.219582,0.281929,0.745,0.015,0.41,0,0.233437,0.201859,0.313338,0.128469,0,maker fill score below 0.55,0.02,0.02,941.9631,143.691797,0.168564,0.201213,0.221046,0.966859,0.999901,1.0,0,0,0.1,1,0.172489,0.060753,shift=-2.0C sigma=3.5C slip=0.020,worst shift=-2.0C sigma=3.5C slip=0.020 edge=0.1686; best shift=+2.0C sigma=2.5C slip=0.000 edge=0.2210,passes all stress and execution checks,26.079564,64.0,66.0,fahrenheit,66°F or higher,2,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 66°F or higher,0,0.5,0.25,1,0.25,0.074539,0.070482,0.078335,0.032117
highest-temperature-in-ankara-on-may-12-2026|highest-temperature-in-ankara-on-may-12-2026-23c|BUY_NO,highest-temperature-in-ankara-on-may-12-2026,Highest temperature in Ankara on May 12?,Ankara,May 12,highest,highest-temperature-in-ankara-on-may-12-2026-23c,23°C,BUY_NO,0.65,0.881579,0.220204,0.332949,0.65,0.0,1,1.0,0.65,1,1214.2314,1392011050437750811143615267506565158221085996204739306931238124531616197097,good,,0.220204,0.332949,0.635,0.015,0.5325,0,0.226579,0.186557,0.356817,0.190005,0,maker fill score below 0.55,0.02,0.02,1032.1668,269.853017,0.160502,0.22953,0.29156,0.841557,0.952935,1.0,0,0,0.1,1,0.164531,0.059702,shift=+2.0C sigma=2.5C slip=0.020,worst shift=+2.0C sigma=2.5C slip=0.020 edge=0.1605; best shift=-2.0C sigma=2.5C slip=0.000 edge=0.2916,passes all stress and execution checks,21.077927,22.5,23.5,celsius,21°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 21°C,0,0.5,0.25,1,0.25,0.083237,0.083237,0.089204,0.047501
highest-temperature-in-warsaw-on-may-12-2026|highest-temperature-in-warsaw-on-may-12-2026-14c|BUY_NO,highest-temperature-in-warsaw-on-may-12-2026,Highest temperature in Warsaw on May 12?,Warsaw,May 12,highest,highest-temperature-in-warsaw-on-may-12-2026-14c,14°C,BUY_NO,0.67,0.853336,0.172281,0.252962,0.67,0.0,1,1.0,0.67,1,859.6973,97585520711080719979293803926125209290713231890515739180158090694780974162019,good,,0.172281,0.252962,0.655,0.015,0.5325,0,0.178336,0.178336,0.272269,0.144983,0,maker fill score below 0.55,0.02,0.02,1011.2306,444.110301,0.152641,0.198039,0.240764,0.853336,0.921819,1.0,0,0,0.1,1,0.160677,0.01964,shift=+0.0C sigma=2.5C slip=0.020,worst shift=+0.0C sigma=2.5C slip=0.020 edge=0.1526; best shift=+2.0C sigma=2.5C slip=0.000 edge=0.2408,passes all stress and execution checks,14.992345,13.5,14.5,celsius,15°C or higher,2,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 15°C or higher,0,0.5,0.25,1,0.25,0.063241,0.063241,0.068067,0.036246
highest-temperature-in-jakarta-on-may-12-2026|highest-temperature-in-jakarta-on-may-12-2026-34c|BUY_NO,highest-temperature-in-jakarta-on-may-12-2026,Highest temperature in Jakarta on May 12?,Jakarta,May 12,highest,highest-temperature-in-jakarta-on-may-12-2026-34c,34°C,BUY_NO,0.66,0.893635,0.222415,0.331359,0.66,0.0,1,1.0,0.66,1,810.2095,99601285282761926072188211515867771325851914323473450396536547027975370628164,good,,0.222415,0.331359,0.655,0.005,0.565,1,0.218635,0.16725,0.333794,0.188594,0,"maker viable, taker expected value is higher",0.02,0.01,1037.9414,143.728221,0.15137,0.225179,0.290644,0.84225,0.961864,1.0,0,0,0.1,1,0.154265,0.071045,shift=+2.0C sigma=2.5C slip=0.020,worst shift=+2.0C sigma=2.5C slip=0.020 edge=0.1514; best shift=-2.0C sigma=2.5C slip=0.000 edge=0.2906,passes all stress and execution checks,31.751791,33.5,34.5,celsius,32°C,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 32°C,0,0.5,0.25,1,0.25,0.08284,0.08284,0.083448,0.047149
highest-temperature-in-shenzhen-on-may-11-2026|highest-temperature-in-shenzhen-on-may-11-2026-29c|BUY_NO,highest-temperature-in-shenzhen-on-may-11-2026,Highest temperature in Shenzhen on May 11?,Shenzhen,May 11,highest,highest-temperature-in-shenzhen-on-may-11-2026-29c,29°C,BUY_NO,0.66,0.844272,0.173052,0.257817,0.67,0.01,1,1.0,0.67,1,785.1205,63477985114347033263408878613888993286470234996218188774078697230126852139636,fair,spread penalty; moderate liquidity; depth slippage,0.163217,0.239653,0.635,0.025,0.4525,0,0.189272,0.189272,0.298066,0.134875,0,maker fill score below 0.55,0.02,0.03,540.7928,495.076729,0.143577,0.194495,0.230317,0.844272,0.911372,1.0,0,0,0.1,1,0.150629,0.029475,shift=+0.0C sigma=2.5C slip=0.020,worst shift=+0.0C sigma=2.5C slip=0.020 edge=0.1436; best shift=+2.0C sigma=3.5C slip=0.000 edge=0.2303,passes all stress and execution checks,29.474394,28.5,29.5,celsius,31°C or higher,2,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 31°C or higher,0,0.5,0.25,1,0.25,0.064454,0.059913,0.074516,0.033719
highest-temperature-in-lagos-on-may-11-2026|highest-temperature-in-lagos-on-may-11-2026-33c|BUY_NO,highest-temperature-in-lagos-on-may-11-2026,Highest temperature in Lagos on May 11?,Lagos,May 11,highest,highest-temperature-in-lagos-on-may-11-2026-33c,33°C,BUY_NO,0.69,0.921049,0.220354,0.314479,0.69,0.0,1,1.0,0.69,1,1553.8511,93461442310982982809782366656442399033888545621994761774018147759360106748221,good,,0.220354,0.314479,0.685,0.005,0.625,1,0.216049,0.147862,0.3154,0.197125,0,"maker viable, taker expected value is higher",0.02,0.01,1359.4893,434.323986,0.132567,0.209492,0.276779,0.852862,0.977474,1.0,0,0,0.1,1,0.133789,0.087787,shift=+2.0C sigma=2.5C slip=0.020,worst shift=+2.0C sigma=2.5C slip=0.020 edge=0.1326; best shift=-2.0C sigma=2.5C slip=0.000 edge=0.2768,passes all stress and execution checks,30.028463,32.5,33.5,celsius,30°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 30°C,0,0.5,0.25,1,0.25,0.07862,0.07862,0.07885,0.049281
highest-temperature-in-wuhan-on-may-12-2026|highest-temperature-in-wuhan-on-may-12-2026-32c|BUY_NO,highest-temperature-in-wuhan-on-may-12-2026,Highest temperature in Wuhan on May 12?,Wuhan,May 12,highest,highest-temperature-in-wuhan-on-may-12-2026-32c,32°C,BUY_NO,0.68,0.894056,0.203176,0.294083,0.68,0.0,1,1.0,0.64,1,747.9289,54926697788376891345253736294925298230354450288622653427292609798187673619801,good,,0.203176,0.294083,0.665,0.015,0.4725,0,0.209056,0.15732,0.31437,0.14854,0,maker fill score below 0.55,0.02,0.02,1234.2687,108.146946,0.13182,0.205735,0.271268,0.84232,0.962148,1.0,0,0,0.1,1,0.134684,0.071356,shift=+2.0C sigma=2.5C slip=0.020,worst shift=+2.0C sigma=2.5C slip=0.020 edge=0.1318; best shift=-2.0C sigma=2.5C slip=0.000 edge=0.2713,passes all stress and execution checks,29.74065,31.5,32.5,celsius,30°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 30°C,0,0.5,0.25,1,0.25,0.073521,0.073521,0.078592,0.037135
