candidate_id,event_slug,event_title,market_city,market_date,market_extreme,market_slug,group_item_title,side,price,base_fair_probability,base_edge,base_expected_roi,execution_price,execution_slippage,execution_fillable,execution_fill_ratio,execution_book_price,execution_book_levels_used,execution_book_available_usdc,execution_token_id,execution_quality,execution_flags,execution_base_edge,execution_expected_roi,maker_quote_price,maker_price_improvement,maker_fill_score,maker_eligible,maker_edge_if_filled,maker_worst_edge,maker_expected_roi_if_filled,maker_fill_adjusted_expected_roi,maker_preferred,maker_reason,maker_adverse_selection_penalty,quote_spread,quote_liquidity,quote_market_volume,worst_edge,mean_edge,best_edge,min_stress_fair_probability,max_stress_fair_probability,stress_pass_rate,negative_scenarios,failed_scenarios,robust_min_edge,robust_pass,robust_score,sensitivity_to_stress,worst_scenario,stress_summary,robust_reason,prediction_c,interval_lower,interval_upper,interval_unit,visible_top_bucket,visible_bucket_rank,visible_bucket_count,risk_flags,decision_reason,market_has_ended,suggested_max_stake_usdc,planned_stake_usdc,selected,stake_usdc,base_expected_pnl_usdc,execution_expected_pnl_usdc
highest-temperature-in-seoul-on-may-11-2026|highest-temperature-in-seoul-on-may-11-2026-19c|BUY_NO,highest-temperature-in-seoul-on-may-11-2026,Highest temperature in Seoul on May 11?,Seoul,May 11,highest,highest-temperature-in-seoul-on-may-11-2026-19c,19°C,BUY_NO,0.7,0.848806,0.138306,0.19466,0.7,0.0,1,1.0,0.69,1,2150.6586,62658110022857550489175927416890337925891377489976246933536006906049761596422,good,,0.138306,0.19466,0.695,0.005,0.695,1,0.133806,0.133806,0.192527,0.133806,0,"maker viable, taker expected value is higher",0.02,0.01,1493.0287,3437.887367,0.118726,0.166839,0.206349,0.848806,0.916849,1.0,0,0,0.1,1,0.126768,0.01958,shift=+0.0C sigma=2.5C slip=0.020,worst shift=+0.0C sigma=2.5C slip=0.020 edge=0.1187; best shift=+2.0C sigma=3.5C slip=0.000 edge=0.2063,passes all stress and execution checks,19.774205,18.5,19.5,celsius,22°C or higher,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 22°C or higher,0,0.5,0.25,1,,,
highest-temperature-in-seoul-on-may-11-2026|highest-temperature-in-seoul-on-may-11-2026-20c|BUY_NO,highest-temperature-in-seoul-on-may-11-2026,Highest temperature in Seoul on May 11?,Seoul,May 11,highest,highest-temperature-in-seoul-on-may-11-2026-20c,20°C,BUY_NO,0.72,0.842117,0.112037,0.153459,0.72,0.0,1,1.0,0.72,1,2441.5985,95487384124583671485737627815687494511369499234269224734060138370373552553007,good,,0.112037,0.153459,0.705,0.015,0.6025,1,0.117117,0.117117,0.166123,0.100089,0,"maker viable, taker expected value is higher",0.02,0.02,1612.2515,3910.044931,0.092497,0.144693,0.176993,0.842117,0.907073,0.962963,0,1,0.1,0,0.100173,0.01954,shift=+0.0C sigma=2.5C slip=0.020,worst shift=+0.0C sigma=2.5C slip=0.020 edge=0.0925; best shift=-2.0C sigma=3.5C slip=0.000 edge=0.1770,edge below 0.100 under shift=+0.0C sigma=2.5C slip=0.020,19.774205,19.5,20.5,celsius,22°C or higher,2,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 22°C or higher,0,0.5,0.25,0,,,
highest-temperature-in-beijing-on-may-11-2026|highest-temperature-in-beijing-on-may-11-2026-32c|BUY_NO,highest-temperature-in-beijing-on-may-11-2026,Highest temperature in Beijing on May 11?,Beijing,May 11,highest,highest-temperature-in-beijing-on-may-11-2026-32c,32°C,BUY_NO,0.7,0.892814,0.182314,0.2566,0.71,0.01,1,1.0,0.69,1,1275.5377,18168790625761969617260837105515319418325110089604548894480319585510822712516,fair,spread penalty; moderate liquidity,0.172519,0.239512,0.675,0.025,0.5225,0,0.197814,0.147121,0.293058,0.153123,0,maker fill score below 0.55,0.02,0.03,809.2085,2594.522926,0.102266,0.175771,0.241009,0.842121,0.961304,1.0,0,0,0.1,1,0.104261,0.080048,shift=+2.0C sigma=2.5C slip=0.020,worst shift=+2.0C sigma=2.5C slip=0.020 edge=0.1023; best shift=-2.0C sigma=2.5C slip=0.000 edge=0.2410,passes all stress and execution checks,29.773555,31.5,32.5,celsius,30°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 30°C,0,0.5,0.25,1,,,
highest-temperature-in-hong-kong-on-may-11-2026|highest-temperature-in-hong-kong-on-may-11-2026-29c|BUY_NO,highest-temperature-in-hong-kong-on-may-11-2026,Highest temperature in Hong Kong on May 11?,Hong Kong,May 11,highest,highest-temperature-in-hong-kong-on-may-11-2026-29c,29°C,BUY_NO,0.72,0.908481,0.178401,0.244358,0.725,0.005,1,1.0,0.72,1,2053.7414,16835188879892074897060647384837218380300716774648023143459287553000280808062,fair,spread penalty,0.173512,0.236081,0.695,0.025,0.585,1,0.193481,0.131492,0.27839,0.162858,0,"maker viable, taker expected value is higher",0.02,0.03,1038.7942,2471.094145,0.091994,0.168694,0.236018,0.846492,0.970987,0.962963,0,1,0.1,0,0.092982,0.086407,shift=+2.0C sigma=2.5C slip=0.020,worst shift=+2.0C sigma=2.5C slip=0.020 edge=0.0920; best shift=-2.0C sigma=2.5C slip=0.000 edge=0.2360,edge below 0.100 under shift=+2.0C sigma=2.5C slip=0.020,26.36205,28.5,29.5,celsius,26°C,5,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 26°C,0,0.5,0.25,0,,,
highest-temperature-in-chicago-on-may-11-2026|highest-temperature-in-chicago-on-may-11-2026-56-57f|BUY_NO,highest-temperature-in-chicago-on-may-11-2026,Highest temperature in Chicago on May 11?,Chicago,May 11,highest,highest-temperature-in-chicago-on-may-11-2026-56-57f,56-57°F,BUY_NO,0.66,0.885471,0.214251,0.319196,0.67,0.01,1,1.0,0.67,1,1040.5167,56764078913713228244924457081289150280119206196657464306561709355786789675280,fair,spread penalty; depth slippage,0.204416,0.300146,0.635,0.025,0.515,0,0.230471,0.170682,0.362946,0.186917,0,maker fill score below 0.55,0.02,0.03,1466.2492,787.255392,0.124987,0.206693,0.278854,0.825682,0.959909,1.0,0,0,0.1,1,0.126061,0.089264,shift=+2.0C sigma=2.5C slip=0.020,worst shift=+2.0C sigma=2.5C slip=0.020 edge=0.1250; best shift=-2.0C sigma=2.5C slip=0.000 edge=0.2789,passes all stress and execution checks,11.55444,56.0,58.0,fahrenheit,52-53°F,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 52-53°F,0,0.5,0.25,1,,,
highest-temperature-in-chicago-on-may-11-2026|highest-temperature-in-chicago-on-may-11-2026-58-59f|BUY_NO,highest-temperature-in-chicago-on-may-11-2026,Highest temperature in Chicago on May 11?,Chicago,May 11,highest,highest-temperature-in-chicago-on-may-11-2026-58-59f,58-59°F,BUY_NO,0.77,0.93091,0.152055,0.195229,0.78,0.01,1,1.0,0.78,1,1268.0134,31738590931436039358240092243658375691922423871853667670013099699029479726495,fair,spread penalty; depth slippage,0.14233,0.180489,0.745,0.025,0.585,1,0.16591,0.085807,0.222698,0.130278,0,"maker viable, taker expected value is higher",0.02,0.03,1516.1901,1444.904993,0.042807,0.123537,0.194375,0.850807,0.982955,0.666667,0,9,0.1,0,0.038548,0.109248,shift=+2.0C sigma=2.5C slip=0.020,worst shift=+2.0C sigma=2.5C slip=0.020 edge=0.0428; best shift=-2.0C sigma=2.5C slip=0.000 edge=0.1944,edge below 0.100 under shift=+2.0C sigma=2.5C slip=0.020,11.55444,58.0,60.0,fahrenheit,52-53°F,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 52-53°F,0,0.5,0.25,0,,,
highest-temperature-in-chicago-on-may-11-2026|highest-temperature-in-chicago-on-may-11-2026-60-61f|BUY_NO,highest-temperature-in-chicago-on-may-11-2026,Highest temperature in Chicago on May 11?,Chicago,May 11,highest,highest-temperature-in-chicago-on-may-11-2026-60-61f,60-61°F,BUY_NO,0.9,0.965683,0.061183,0.067643,0.9,0.0,1,1.0,0.9,1,926.3444,85698241608073951387336135714090939870385098255095371029968966704874708112763,good,,0.061183,0.067643,0.895,0.005,0.625,0,0.050683,-0.02014,0.056629,0.035393,0,maker worst stress edge not positive,0.02,0.01,1207.1744,630.339893,-0.02882,0.03233,0.089534,0.89486,0.994034,0.0,9,27,0.1,0,-0.03782,0.090003,shift=+2.0C sigma=2.5C slip=0.020,worst shift=+2.0C sigma=2.5C slip=0.020 edge=-0.0288; best shift=-2.0C sigma=2.5C slip=0.000 edge=0.0895,negative edge under shift=+2.0C sigma=2.5C slip=0.020,11.55444,60.0,62.0,fahrenheit,52-53°F,5,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 52-53°F,0,0.31,0.25,0,,,
highest-temperature-in-tokyo-on-may-11-2026|highest-temperature-in-tokyo-on-may-11-2026-24c|BUY_NO,highest-temperature-in-tokyo-on-may-11-2026,Highest temperature in Tokyo on May 11?,Tokyo,May 11,highest,highest-temperature-in-tokyo-on-may-11-2026-24c,24°C,BUY_NO,0.7,0.928603,0.218103,0.306971,0.71,0.01,1,1.0,0.7,1,1170.2901,92704752856180110499604980913513807007719152314049360784286916259254314691481,fair,spread penalty; moderate liquidity,0.208308,0.289198,0.675,0.025,0.5225,0,0.233603,0.162946,0.346079,0.180826,0,maker fill score below 0.55,0.02,0.03,598.5939,2402.954858,0.118091,0.194102,0.260624,0.857946,0.980919,1.0,0,0,0.1,1,0.11809,0.100012,shift=+2.0C sigma=2.5C slip=0.020,worst shift=+2.0C sigma=2.5C slip=0.020 edge=0.1181; best shift=-2.0C sigma=2.5C slip=0.000 edge=0.2606,passes all stress and execution checks,20.821319,23.5,24.5,celsius,21°C,4,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 21°C,0,0.5,0.25,1,,,
highest-temperature-in-tokyo-on-may-11-2026|highest-temperature-in-tokyo-on-may-11-2026-23c|BUY_NO,highest-temperature-in-tokyo-on-may-11-2026,Highest temperature in Tokyo on May 11?,Tokyo,May 11,highest,highest-temperature-in-tokyo-on-may-11-2026-23c,23°C,BUY_NO,0.79,0.891019,0.092724,0.116153,0.8,0.01,1,1.0,0.8,1,1116.3199,7903812835096364275508669977782845705743874023762897962350276980553180568968,fair,moderate liquidity; depth slippage,0.083019,0.102746,0.775,0.015,0.54,0,0.096019,0.04688,0.123895,0.066904,0,maker fill score below 0.55,0.02,0.02,632.6332,2267.8586,0.0145,0.087323,0.152058,0.84188,0.960058,0.333333,0,18,0.1,0,0.01001,0.078224,shift=+2.0C sigma=2.5C slip=0.020,worst shift=+2.0C sigma=2.5C slip=0.020 edge=0.0145; best shift=-2.0C sigma=2.5C slip=0.000 edge=0.1521,edge below 0.100 under shift=+2.0C sigma=2.5C slip=0.020,20.821319,22.5,23.5,celsius,21°C,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 21°C,0,0.46,0.25,0,,,
highest-temperature-in-los-angeles-on-may-12-2026|highest-temperature-in-los-angeles-on-may-12-2026-66-67f|BUY_NO,highest-temperature-in-los-angeles-on-may-12-2026,Highest temperature in Los Angeles on May 12?,Los Angeles,May 12,highest,highest-temperature-in-los-angeles-on-may-12-2026-66-67f,66-67°F,BUY_NO,0.7,0.88068,0.17018,0.239521,0.7,0.0,1,1.0,0.7,1,605.337,58242743705874547375886435591338958491072426385081741321291864397142883638412,good,,0.17018,0.239521,0.685,0.015,0.5325,0,0.17568,0.11981,0.256467,0.136569,0,maker fill score below 0.55,0.02,0.02,1142.5273,970.040806,0.09473,0.175023,0.246201,0.82481,0.956701,0.962963,0,1,0.1,0,0.096815,0.07545,shift=-2.0C sigma=2.5C slip=0.020,worst shift=-2.0C sigma=2.5C slip=0.020 edge=0.0947; best shift=+2.0C sigma=2.5C slip=0.000 edge=0.2462,edge below 0.100 under shift=-2.0C sigma=2.5C slip=0.020,21.664558,66.0,68.0,fahrenheit,70°F or higher,3,5,,BUY_NO: model thinks this bucket is unlikely and it is not the model top bucket; top bucket is 70°F or higher,0,0.5,0.25,0,,,
