title,slug,location,resolution_source_url,description
Highest temperature in Houston on May 5?,highest-temperature-in-houston-on-may-5-2026,William P. Hobby,https://www.wunderground.com/history/daily/us/tx/houston/KHOU,"This market will resolve to the temperature range that contains the highest temperature recorded at the William P. Hobby Airport Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the William P. Hobby Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/tx/houston/KHOU.

To toggle"
Lowest temperature in Shanghai on May 6?,lowest-temperature-in-shanghai-on-may-6-2026,Shanghai Pudong International,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD,"This market will resolve to the temperature range that contains the lowest temperature recorded at the Shanghai Pudong International Airport Station in degrees Celsius on 6 May '26.

The resolution source for this market will be information from Wunderground, specifically the lowest temperature recorded for all times on this day by the Forecast for the Shanghai Pudong International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/shangh"
Lowest temperature in Tokyo on May 5?,lowest-temperature-in-tokyo-on-may-5-2026,Tokyo Haneda,https://www.wunderground.com/history/daily/jp/tokyo/RJTT,"This market will resolve to the temperature range that contains the lowest temperature recorded at the Tokyo Haneda Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the lowest temperature recorded for all times on this day by the Forecast for the Tokyo Haneda Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/jp/tokyo/RJTT.

To toggle between Fahrenhei"
Highest temperature in NYC on May 4?,highest-temperature-in-nyc-on-may-4-2026,LaGuardia,https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA,"This market will resolve to the temperature range that contains the highest temperature recorded at the LaGuardia Airport Station in degrees Fahrenheit on 4 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the LaGuardia Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/ny/new-york-city/KLGA.

To toggle between"
Highest temperature in Seoul on May 4?,highest-temperature-in-seoul-on-may-4-2026,Incheon Intl,https://www.wunderground.com/history/daily/kr/incheon/RKSI,"This market will resolve to the temperature range that contains the highest temperature recorded at the Incheon Intl Airport Station in degrees Celsius on 4 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Incheon Intl Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/kr/incheon/RKSI.

To toggle between Fahre"
Highest temperature in Chongqing on May 5?,highest-temperature-in-chongqing-on-may-5-2026,Chongqing Jiangbei International,https://www.wunderground.com/history/daily/cn/chongqing/ZUCK,"This market will resolve to the temperature range that contains the highest temperature recorded at the Chongqing Jiangbei International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Chongqing Jiangbei International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/c"
Highest temperature in Munich on May 5?,highest-temperature-in-munich-on-may-5-2026,Munich,https://www.wunderground.com/history/daily/de/munich/EDDM,"This market will resolve to the temperature range that contains the highest temperature recorded at the Munich Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Munich Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/de/munich/EDDM.

To toggle between Fahrenheit and Cel"
Highest temperature in Singapore on May 5?,highest-temperature-in-singapore-on-may-5-2026,Singapore Changi,https://www.wunderground.com/history/daily/sg/singapore/WSSS,"This market will resolve to the temperature range that contains the highest temperature recorded at the Singapore Changi Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Singapore Changi Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/sg/singapore/WSSS.

To toggle bet"
Highest temperature in Dallas on May 5?,highest-temperature-in-dallas-on-may-5-2026,Dallas Love Field,https://www.wunderground.com/history/daily/us/tx/dallas/KDAL,"This market will resolve to the temperature range that contains the highest temperature recorded at the Dallas Love Field Station in degrees Fahrenheit on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Dallas Love Field Station once information is finalized, available here: https://www.wunderground.com/history/daily/us/tx/dallas/KDAL.

To toggle between Fahren"
Highest temperature in Qingdao on May 5?,highest-temperature-in-qingdao-on-may-5-2026,Qingdao Jiaodong International,https://www.wunderground.com/history/daily/cn/qingdao/ZSQD,"This market will resolve to the temperature range that contains the highest temperature recorded at the Qingdao Jiaodong International Airport Station in degrees Celsius on 5 May '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Qingdao Jiaodong International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/cn/qi"
